#time	V(in1)	V(in2)	I(R3)
0.000000000000000e+00	-3.091096e+00	-3.091093e+00	-2.479564e-09
3.864342304927354e-09	-3.091096e+00	-3.091093e+00	-2.631636e-09
7.728684609854709e-09	-3.091096e+00	-3.091093e+00	-2.726023e-09
1.159302691478206e-08	-3.091097e+00	-3.091094e+00	-2.762725e-09
1.545736921970942e-08	-3.091097e+00	-3.091094e+00	-2.741740e-09
1.932171152463677e-08	-3.091097e+00	-3.091094e+00	-2.663070e-09
2.318605382956412e-08	-3.091097e+00	-3.091095e+00	-2.526714e-09
2.705039613449147e-08	-3.091098e+00	-3.091095e+00	-2.332672e-09
6.023848871212872e-08	-3.091020e+00	-3.091024e+00	4.250103e-09
9.342658128976597e-08	-3.090883e+00	-3.090893e+00	1.023496e-08
1.266146738674032e-07	-3.090685e+00	-3.090701e+00	1.562189e-08
1.598027664450405e-07	-3.090429e+00	-3.090449e+00	2.041090e-08
1.929908590226777e-07	-3.090112e+00	-3.090137e+00	2.460199e-08
2.261789516003150e-07	-3.089736e+00	-3.089764e+00	2.819516e-08
2.593670441779521e-07	-3.089299e+00	-3.089331e+00	3.119040e-08
3.448747814737283e-07	-3.088128e+00	-3.088165e+00	3.616599e-08
5.174225496918667e-07	-3.085500e+00	-3.085539e+00	3.907227e-08
9.248212598734408e-07	-3.079270e+00	-3.079308e+00	3.759680e-08
1.698720115248341e-06	-3.067801e+00	-3.067838e+00	3.720682e-08
2.472618970623241e-06	-3.056370e+00	-3.056407e+00	3.689902e-08
3.246517825998140e-06	-3.044978e+00	-3.045015e+00	3.667338e-08
4.020416681373040e-06	-3.033625e+00	-3.033662e+00	3.652990e-08
4.794315536747940e-06	-3.022312e+00	-3.022348e+00	3.646859e-08
5.568214392122840e-06	-3.011037e+00	-3.011073e+00	3.648944e-08
6.342113247497738e-06	-2.999801e+00	-2.999837e+00	3.659246e-08
3.196376263448921e-05	-2.627105e+00	-2.627142e+00	3.722377e-08
5.758541202148069e-05	-2.254435e+00	-2.254473e+00	3.848428e-08
8.320706140847216e-05	-1.881791e+00	-1.881832e+00	4.037400e-08
1.088287107954636e-04	-1.509174e+00	-1.509216e+00	4.289292e-08
1.344503601824551e-04	-1.136582e+00	-1.136628e+00	4.604106e-08
1.600720095694466e-04	-7.640167e-01	-7.640666e-01	4.981839e-08
1.856936589564380e-04	-3.914776e-01	-3.915318e-01	5.422494e-08
1.994122639979419e-04	-1.922599e-01	-1.923187e-01	5.886139e-08
1.994237080897388e-04	-1.920830e-01	-1.921454e-01	6.244712e-08
1.994389668788013e-04	-1.918409e-01	-1.919053e-01	6.432939e-08
1.995041005546880e-04	-1.908474e-01	-1.909087e-01	6.135862e-08
1.995692342305746e-04	-1.898852e-01	-1.899440e-01	5.878370e-08
