#time	V(in1)	V(in2)	-I(R3)
0.000000000000000e+00	1.872861e-04	2.353672e+00	-2.353485e-03
6.116810712332336e-09	1.859903e-04	2.353672e+00	-2.353486e-03
1.223362142466467e-08	1.858126e-04	2.353672e+00	-2.353486e-03
1.835043213699701e-08	1.867531e-04	2.353672e+00	-2.353485e-03
2.446724284932934e-08	1.888117e-04	2.353672e+00	-2.353483e-03
3.058405356166168e-08	1.919884e-04	2.353672e+00	-2.353480e-03
3.670086427399402e-08	1.962832e-04	2.353672e+00	-2.353476e-03
4.281767498632634e-08	2.016963e-04	2.353673e+00	-2.353471e-03
7.689121852327216e-08	2.839952e-04	2.353678e+00	-2.353394e-03
1.153593751202505e-07	4.501974e-04	2.353689e+00	-2.353238e-03
1.598940561309239e-07	7.210341e-04	2.353707e+00	-2.352986e-03
2.030099574358704e-07	1.056612e-03	2.353729e+00	-2.352673e-03
2.425141637354580e-07	1.417560e-03	2.353754e+00	-2.352336e-03
3.240696599256518e-07	2.262912e-03	2.353812e+00	-2.351549e-03
4.010768129409766e-07	3.099306e-03	2.353869e+00	-2.350770e-03
4.780839659563015e-07	3.905261e-03	2.353924e+00	-2.350019e-03
5.550911189716263e-07	4.680779e-03	2.353978e+00	-2.349297e-03
6.320982719869511e-07	5.425859e-03	2.354029e+00	-2.348603e-03
7.091054250022759e-07	6.140502e-03	2.354078e+00	-2.347937e-03
7.861125780176007e-07	6.824707e-03	2.354125e+00	-2.347300e-03
8.631197310329253e-07	7.478475e-03	2.354170e+00	-2.346691e-03
3.099289458275379e-05	2.813441e-01	2.372389e+00	-2.091045e-03
6.112266943447467e-05	5.551993e-01	2.392672e+00	-1.837473e-03
9.125244428619553e-05	8.290440e-01	2.415019e+00	-1.585975e-03
1.213822191379164e-04	1.102878e+00	2.439428e+00	-1.336550e-03
1.515119939896373e-04	1.376702e+00	2.465902e+00	-1.089199e-03
1.816417688413581e-04	1.650516e+00	2.494438e+00	-8.439223e-04
2.117715436930789e-04	1.924319e+00	2.525038e+00	-6.007194e-04
2.167938651216504e-04	1.969966e+00	2.530867e+00	-5.609018e-04
2.218161865502218e-04	2.015590e+00	2.536934e+00	-5.213442e-04
2.268385079787932e-04	2.061191e+00	2.543238e+00	-4.820467e-04
2.318608294073647e-04	2.106770e+00	2.549779e+00	-4.430092e-04
2.368831508359361e-04	2.152326e+00	2.556558e+00	-4.042316e-04
2.419054722645075e-04	2.197860e+00	2.563574e+00	-3.657141e-04
2.469277936930790e-04	2.243371e+00	2.570828e+00	-3.274566e-04
2.508340436930790e-04	2.278605e+00	2.576746e+00	-2.981410e-04
2.527871686930790e-04	2.296107e+00	2.579776e+00	-2.836685e-04
2.547402936930790e-04	2.313418e+00	2.582832e+00	-2.694140e-04
2.565623158628484e-04	2.329277e+00	2.585680e+00	-2.564035e-04
2.570687453829621e-04	2.333464e+00	2.586446e+00	-2.529817e-04
2.570709244986639e-04	2.333492e+00	2.586449e+00	-2.529565e-04
2.570731036143656e-04	2.333522e+00	2.586453e+00	-2.529309e-04
2.570752827300674e-04	2.333552e+00	2.586457e+00	-2.529048e-04
2.570774618457692e-04	2.333583e+00	2.586461e+00	-2.528782e-04
2.570796409614710e-04	2.333615e+00	2.586466e+00	-2.528512e-04
