#TIME ms, IN1, IN2, MATH
1, 0.016479, 0.018311, -0.007324
0.998, 0.031128, 0.032349, -0.004883
0.996, 0.048828, 0.05127, -0.009766
0.995, 0.070801, 0.072632, -0.007324
0.993, 0.089722, 0.091553, -0.007324
0.991, 0.110474, 0.112915, -0.009766
0.989, 0.125122, 0.126343, -0.004883
0.987, 0.146484, 0.148926, -0.009766
0.985, 0.166626, 0.167236, -0.002441
0.983, 0.187988, 0.188599, -0.002441
0.981, 0.20813, 0.20874, -0.002441
0.979, 0.223999, 0.224609, -0.002441
0.977, 0.24292, 0.244751, -0.007324
0.975, 0.264282, 0.265503, -0.004883
0.973, 0.281982, 0.283203, -0.004883
0.971, 0.302734, 0.304565, -0.007324
0.969, 0.321655, 0.322876, -0.004883
0.967, 0.338135, 0.338745, -0.002441
0.965, 0.357666, 0.358276, -0.002441
0.963, 0.378418, 0.379639, -0.004883
0.961, 0.397339, 0.397339, 0
0.959, 0.41748, 0.418701, -0.004883
0.957, 0.430298, 0.432129, -0.007324
0.955, 0.452271, 0.453491, -0.004883
0.953, 0.471191, 0.473022, -0.007324
0.952, 0.494385, 0.494995, -0.002441
0.95, 0.515137, 0.515137, 0
0.948, 0.534668, 0.535889, -0.004883
0.946, 0.549316, 0.549927, -0.002441
0.944, 0.568237, 0.568848, -0.002441
0.942, 0.586548, 0.587769, -0.004883
0.94, 0.606079, 0.606689, -0.002441
0.938, 0.626221, 0.627441, -0.004883
0.936, 0.641479, 0.64209, -0.002441
0.934, 0.662842, 0.662842, 0
0.932, 0.682983, 0.684814, -0.007324
0.93, 0.705566, 0.706177, -0.002441
0.928, 0.725708, 0.726318, -0.002441
0.926, 0.743408, 0.745239, -0.007324
0.924, 0.760498, 0.761108, -0.002441
0.922, 0.779419, 0.78064, -0.004883
0.92, 0.800171, 0.802002, -0.007324
0.918, 0.818481, 0.820312, -0.007324
0.916, 0.839844, 0.841064, -0.004883
0.914, 0.853882, 0.855103, -0.004883
0.912, 0.874634, 0.875854, -0.004883
0.911, 0.892944, 0.893555, -0.002441
0.909, 0.913696, 0.914917, -0.004883
0.907, 0.934448, 0.934448, 0
0.905, 0.950317, 0.950317, 0
0.903, 0.969238, 0.969849, -0.002441
0.901, 0.98999, 0.991211, -0.004883
0.899, 1.008301, 1.008911, -0.002441
0.897, 1.029053, 1.030273, -0.004883
0.895, 1.047974, 1.048584, -0.002441
0.893, 1.064453, 1.064453, 0
0.891, 1.083984, 1.084595, -0.002441
0.889, 1.105957, 1.105957, 0
0.887, 1.124268, 1.124268, 0
0.885, 1.14563, 1.14624, -0.002441
0.883, 1.159668, 1.160278, -0.002441
0.881, 1.181641, 1.18103, 0.002441
0.879, 1.19812, 1.19751, 0.002441
0.877, 1.218872, 1.218872, 0
0.875, 1.237793, 1.237183, 0.002441
0.873, 1.259155, 1.259766, -0.002441
0.871, 1.273193, 1.272583, 0.002441
0.869, 1.295776, 1.295776, 0
0.868, 1.315308, 1.315918, -0.002441
0.866, 1.335449, 1.334839, 0.002441
0.864, 1.35498, 1.355591, -0.002441
0.862, 1.370239, 1.370239, 0
0.86, 1.389771, 1.390381, -0.002441
0.858, 1.409912, 1.411133, -0.004883
0.856, 1.433105, 1.431274, 0.007324
0.854, 1.452637, 1.452637, 0
0.852, 1.471558, 1.470947, 0.002441
0.85, 1.486816, 1.486816, 0
0.848, 1.503906, 1.503296, 0.002441
0.846, 1.525269, 1.524658, 0.002441
0.844, 1.544189, 1.542969, 0.004883
0.842, 1.567383, 1.566162, 0.004883
0.84, 1.5802, 1.5802, 0
0.838, 1.602783, 1.602173, 0.002441
0.836, 1.622314, 1.621094, 0.004883
0.834, 1.642456, 1.641846, 0.002441
0.832, 1.661377, 1.661377, 0
0.83, 1.682739, 1.681519, 0.004883
0.828, 1.695557, 1.694946, 0.002441
0.826, 1.716919, 1.715698, 0.004883
0.825, 1.73584, 1.734619, 0.004883
0.823, 1.755981, 1.755371, 0.002441
0.821, 1.776733, 1.776123, 0.002441
0.819, 1.791992, 1.790771, 0.004883
0.817, 1.810303, 1.809692, 0.002441
0.815, 1.831055, 1.829834, 0.004883
0.813, 1.851196, 1.849976, 0.004883
0.811, 1.873169, 1.871338, 0.007324
0.809, 1.885986, 1.884155, 0.007324
0.807, 1.907959, 1.906738, 0.004883
0.805, 1.92688, 1.925659, 0.004883
0.803, 1.948242, 1.945801, 0.009766
0.801, 1.965332, 1.964111, 0.004883
0.799, 1.985474, 1.984253, 0.004883
0.797, 2.000122, 1.998291, 0.007324
0.795, 2.020874, 2.019043, 0.007324
0.793, 2.040405, 2.037964, 0.009766
0.791, 2.061157, 2.058716, 0.009766
0.789, 2.081299, 2.078857, 0.009766
0.787, 2.096558, 2.093506, 0.012207
0.785, 2.114868, 2.112427, 0.009766
0.784, 2.13501, 2.130737, 0.01709
0.782, 2.155151, 2.150879, 0.01709
0.78, 2.175903, 2.171631, 0.01709
