#TIME ms, IN1, IN2, MATH
1, -0.258512, 0.168972, -0.427484
0.998, -0.242626, 0.176193, -0.418819
0.996, -0.213742, 0.181969, -0.395711
0.994, -0.193523, 0.187746, -0.381269
0.992, -0.167527, 0.197856, -0.365383
0.99, -0.14442, 0.207965, -0.352385
0.988, -0.115536, 0.218075, -0.333611
0.986, -0.093873, 0.225296, -0.319169
0.984, -0.070766, 0.233961, -0.304727
0.982, -0.043326, 0.245514, -0.28884
0.98, -0.018775, 0.251291, -0.270066
0.979, -0.001444, 0.261401, -0.262845
0.977, 0.01733, 0.267177, -0.249847
0.975, 0.043326, 0.277287, -0.233961
0.973, 0.062101, 0.287396, -0.225296
0.971, 0.090985, 0.29895, -0.207965
0.969, 0.114092, 0.309059, -0.194967
0.967, 0.132867, 0.320613, -0.187746
0.965, 0.15453, 0.332167, -0.177637
0.963, 0.180525, 0.345164, -0.164639
0.961, 0.205077, 0.356718, -0.151641
0.959, 0.222407, 0.368272, -0.145864
0.957, 0.246959, 0.382714, -0.135755
0.955, 0.264289, 0.394267, -0.129978
0.953, 0.294617, 0.411598, -0.11698
0.951, 0.311948, 0.428928, -0.11698
0.949, 0.340832, 0.444814, -0.103983
0.947, 0.355274, 0.457812, -0.102538
0.945, 0.381269, 0.476587, -0.095317
0.943, 0.404377, 0.491029, -0.086652
0.941, 0.423151, 0.508359, -0.085208
0.939, 0.452035, 0.528578, -0.076543
0.938, 0.47081, 0.547353, -0.076543
0.936, 0.493917, 0.561795, -0.067878
0.934, 0.514136, 0.583458, -0.069322
0.932, 0.540132, 0.606565, -0.066433
0.93, 0.560351, 0.62534, -0.064989
0.928, 0.583458, 0.647003, -0.063545
0.926, 0.602232, 0.661445, -0.059212
0.924, 0.621007, 0.683108, -0.062101
0.922, 0.645558, 0.703327, -0.057768
0.92, 0.664333, 0.722101, -0.057768
0.918, 0.690329, 0.748097, -0.057768
0.916, 0.710548, 0.766872, -0.056324
0.914, 0.730766, 0.78709, -0.056324
0.912, 0.749541, 0.805865, -0.056324
0.91, 0.774092, 0.830416, -0.056324
0.908, 0.798644, 0.850635, -0.051991
0.906, 0.817419, 0.870854, -0.053435
0.904, 0.836193, 0.885296, -0.049103
0.902, 0.853524, 0.906959, -0.053436
0.9, 0.879519, 0.931511, -0.051991
0.898, 0.901182, 0.950285, -0.049103
0.896, 0.92429, 0.976281, -0.051991
0.895, 0.938732, 0.987834, -0.049103
0.893, 0.963283, 1.012386, -0.049103
0.891, 0.98639, 1.032605, -0.046214
0.889, 1.006609, 1.054268, -0.047659
0.887, 1.03116, 1.077375, -0.046214
0.885, 1.052824, 1.097594, -0.04477
0.883, 1.071598, 1.116369, -0.04477
0.881, 1.090373, 1.135143, -0.04477
0.879, 1.116369, 1.159694, -0.043326
0.877, 1.136587, 1.178469, -0.041882
0.875, 1.153918, 1.203021, -0.049103
0.873, 1.16836, 1.211686, -0.043326
0.871, 1.188578, 1.231905, -0.043326
0.869, 1.210242, 1.252123, -0.041882
0.867, 1.23046, 1.273787, -0.043326
0.865, 1.255012, 1.29545, -0.040438
0.863, 1.270898, 1.315668, -0.04477
0.861, 1.291117, 1.334443, -0.043326
0.859, 1.311336, 1.351774, -0.040438
0.857, 1.331555, 1.374881, -0.043326
0.855, 1.353218, 1.395099, -0.041882
0.854, 1.373436, 1.416762, -0.043326
0.852, 1.387879, 1.432649, -0.04477
0.85, 1.409541, 1.455756, -0.046214
0.848, 1.436981, 1.475975, -0.038993
0.846, 1.454312, 1.496194, -0.041882
0.844, 1.480307, 1.519301, -0.038993
