#TIME ms, IN1, IN2, MATH
1, -0.283064, -0.157418, -0.125646
0.998, -0.261401, -0.140088, -0.121313
0.996, -0.241182, -0.119869, -0.121313
0.994, -0.210854, -0.092429, -0.118425
0.992, -0.189191, -0.07221, -0.11698
0.99, -0.163195, -0.047659, -0.115536
0.988, -0.147309, -0.036105, -0.111204
0.986, -0.119869, -0.008665, -0.111204
0.984, -0.095317, 0.011554, -0.106871
0.982, -0.073654, 0.034661, -0.108315
0.98, -0.046214, 0.060656, -0.106871
0.979, -0.030328, 0.076543, -0.106871
0.977, -0.005777, 0.09965, -0.105427
0.975, 0.015886, 0.115536, -0.09965
0.973, 0.043326, 0.141532, -0.098206
0.971, 0.064989, 0.164639, -0.09965
0.969, 0.090985, 0.193523, -0.102538
0.967, 0.108315, 0.205077, -0.096762
0.965, 0.134311, 0.229628, -0.095317
0.963, 0.160306, 0.252735, -0.092429
0.961, 0.181969, 0.274398, -0.092429
0.959, 0.207965, 0.300394, -0.092429
0.957, 0.220963, 0.311948, -0.090985
0.955, 0.251291, 0.340832, -0.089541
0.953, 0.272954, 0.359606, -0.086652
0.951, 0.29895, 0.38849, -0.089541
0.949, 0.322057, 0.407265, -0.085208
0.947, 0.340832, 0.42604, -0.085208
0.945, 0.363939, 0.447703, -0.083764
0.943, 0.385602, 0.466477, -0.080875
0.941, 0.408709, 0.492473, -0.083764
0.939, 0.428928, 0.506915, -0.077987
0.938, 0.452035, 0.531466, -0.079431
0.936, 0.467922, 0.547353, -0.079431
0.934, 0.491029, 0.571904, -0.080875
0.932, 0.51558, 0.589235, -0.073654
0.93, 0.534355, 0.613786, -0.079431
0.928, 0.560351, 0.635449, -0.075099
0.926, 0.574793, 0.651335, -0.076543
0.924, 0.599344, 0.672998, -0.073654
0.922, 0.621007, 0.693217, -0.07221
0.92, 0.644114, 0.717769, -0.073654
0.918, 0.668666, 0.739432, -0.070766
0.916, 0.68744, 0.762539, -0.075099
0.914, 0.709103, 0.775537, -0.066433
0.912, 0.727878, 0.798644, -0.070766
0.91, 0.755318, 0.821751, -0.066433
0.908, 0.775537, 0.843414, -0.067878
0.906, 0.798644, 0.862189, -0.063545
0.904, 0.813086, 0.879519, -0.066433
0.902, 0.839082, 0.905515, -0.066433
0.9, 0.865077, 0.927178, -0.062101
0.898, 0.885296, 0.947397, -0.062101
0.896, 0.908403, 0.970504, -0.062101
0.895, 0.922845, 0.984946, -0.062101
0.893, 0.947397, 1.008053, -0.060657
0.891, 0.967616, 1.026828, -0.059212
0.889, 0.990723, 1.049935, -0.059212
0.887, 1.012386, 1.070154, -0.057768
0.885, 1.034049, 1.090373, -0.056324
0.883, 1.052824, 1.107703, -0.05488
0.881, 1.073042, 1.129366, -0.056324
0.879, 1.097594, 1.148141, -0.050547
0.877, 1.114924, 1.171248, -0.056324
0.875, 1.14092, 1.194355, -0.053436
0.873, 1.151029, 1.205909, -0.05488
0.871, 1.174137, 1.226128, -0.051991
0.869, 1.1958, 1.244902, -0.049103
0.867, 1.21313, 1.265121, -0.051991
0.865, 1.234793, 1.288229, -0.053435
