#TIME ms, IN1, IN2, MATH
1, -3.152694, 2.741096, -2.946895
0.998, -3.149805, 2.743984, -2.946895
0.996, -3.146917, 2.743984, -2.945451
0.994, -3.139696, 2.743984, -2.94184
0.992, -3.136808, 2.74254, -2.939674
0.99, -3.135364, 2.741096, -2.93823
0.988, -3.131031, 2.743984, -2.937508
0.986, -3.128142, 2.74254, -2.935341
0.984, -3.126698, 2.743984, -2.935341
0.982, -3.12381, 2.74254, -2.933175
0.98, -3.122365, 2.743984, -2.933175
0.979, -3.116589, 2.743984, -2.930286
0.977, -3.116589, 2.74254, -2.929564
0.975, -3.1137, 2.743984, -2.928843
0.973, -3.110812, 2.743984, -2.927398
0.971, -3.107924, 2.74254, -2.925232
0.969, -3.105035, 2.743984, -2.92451
0.967, -3.103591, 2.743984, -2.923788
0.965, -3.099258, 2.745429, -2.922343
0.963, -3.097814, 2.745429, -2.921621
0.961, -3.099258, 2.743984, -2.921621
0.959, -3.094926, 2.745429, -2.920177
0.957, -3.094926, 2.745429, -2.920177
0.955, -3.090593, 2.745429, -2.918011
0.953, -3.087705, 2.745429, -2.916567
0.951, -3.087705, 2.746873, -2.917289
0.949, -3.084816, 2.746873, -2.915845
0.947, -3.063153, 2.749761, -2.906457
0.945, -3.005385, 2.746873, -2.876129
0.943, -2.964947, 2.748317, -2.856632
0.941, -2.92451, 2.745429, -2.834969
0.939, -2.879739, 2.743984, -2.811862
0.938, -2.839302, 2.745429, -2.792365
0.936, -2.806085, 2.745429, -2.775757
0.934, -2.767092, 2.745429, -2.75626
0.932, -2.719433, 2.746873, -2.733153
0.93, -2.677551, 2.749761, -2.713656
0.928, -2.637114, 2.746873, -2.691993
0.926, -2.606785, 2.749761, -2.678273
0.924, -2.567792, 2.748317, -2.658055
0.922, -2.52591, 2.749761, -2.637836
0.92, -2.488361, 2.746873, -2.617617
0.918, -2.44359, 2.746873, -2.595232
0.916, -2.404597, 2.749761, -2.577179
0.914, -2.374269, 2.749761, -2.562015
0.912, -2.335275, 2.75265, -2.543962
0.91, -2.290505, 2.751205, -2.520855
0.908, -2.250067, 2.75265, -2.501359
0.906, -2.211074, 2.754094, -2.482584
0.904, -2.18219, 2.75265, -2.46742
0.902, -2.14464, 2.75265, -2.448645
0.9, -2.101315, 2.754094, -2.427704
0.898, -2.066654, 2.754094, -2.410374
0.896, -2.023328, 2.754094, -2.388711
0.895, -1.995888, 2.754094, -2.374991
0.893, -1.954006, 2.75265, -2.353328
0.891, -1.912124, 2.751205, -2.331665
0.889, -1.876019, 2.75265, -2.314334
0.887, -1.831249, 2.756982, -2.294116
0.885, -1.796588, 2.755538, -2.276063
0.883, -1.761927, 2.758427, -2.260177
0.881, -1.727266, 2.759871, -2.243568
0.879, -1.68394, 2.759871, -2.221905
0.877, -1.643502, 2.762759, -2.203131
0.875, -1.603065, 2.762759, -2.182912
0.873, -1.572736, 2.762759, -2.167748
0.871, -1.532299, 2.765647, -2.148973
0.869, -1.493305, 2.765647, -2.129476
0.867, -1.455756, 2.765647, -2.110702
0.865, -1.413874, 2.764203, -2.089039
0.863, -1.382102, 2.767092, -2.074597
0.861, -1.348885, 2.768536, -2.058711
0.859, -1.31278, 2.764203, -2.038492
0.857, -1.275231, 2.765647, -2.020439
0.855, -1.237681, 2.765647, -2.001664
0.854, -1.201576, 2.765647, -1.983612
0.852, -1.169804, 2.767092, -1.968448
0.85, -1.135143, 2.767092, -1.951117
0.848, -1.093261, 2.767092, -1.930176
0.846, -1.060045, 2.768536, -1.91429
0.844, -1.018163, 2.765647, -1.891905
0.842, -0.992167, 2.765647, -1.878907
0.84, -0.951729, 2.767092, -1.859411
0.838, -0.91418, 2.76998, -1.84208
0.836, -0.878075, 2.76998, -1.824028
0.834, -0.836193, 2.772869, -1.804531
0.832, -0.800088, 2.772869, -1.786478
0.83, -0.766872, 2.775757, -1.771314
0.828, -0.730766, 2.774313, -1.75254
0.826, -0.691773, 2.774313, -1.733043
0.824, -0.657112, 2.772869, -1.71499
0.822, -0.622451, 2.774313, -1.698382
0.82, -0.593567, 2.771424, -1.682496
0.818, -0.556018, 2.772869, -1.664443
0.816, -0.518469, 2.771424, -1.644946
0.814, -0.486696, 2.772869, -1.629782
0.813, -0.446259, 2.772869, -1.609564
0.811, -0.410154, 2.774313, -1.592233
0.809, -0.378381, 2.772869, -1.575625
0.807, -0.34372, 2.774313, -1.559016
0.805, -0.304727, 2.775757, -1.540242
0.803, -0.265733, 2.775757, -1.520745
0.801, -0.229628, 2.78009, -1.504859
0.799, -0.1993, 2.781534, -1.490417
0.797, -0.164639, 2.781534, -1.473086
0.795, -0.121313, 2.784422, -1.452868
0.793, -0.089541, 2.782978, -1.436259
0.791, -0.051991, 2.784422, -1.418207
0.789, -0.02744, 2.784422, -1.405931
0.787, 0.007221, 2.778646, -1.385712
0.785, 0.038993, 2.778646, -1.369826
0.783, 0.07221, 2.775757, -1.351774
0.781, 0.112648, 2.777201, -1.332277
0.779, 0.142976, 2.775757, -1.316391
0.777, 0.17186, 2.775757, -1.301949
0.775, 0.209409, 2.777201, -1.283896
0.773, 0.245514, 2.775757, -1.265121
0.771, 0.283064, 2.775757, -1.246347
0.77, 0.320613, 2.778646, -1.229016
0.768, 0.346609, 2.778646, -1.216018
0.766, 0.387046, 2.784422, -1.198688
0.764, 0.427484, 2.787311, -1.179913
0.762, 0.463589, 2.787311, -1.161861
0.76, 0.502582, 2.787311, -1.142364
0.758, 0.532911, 2.787311, -1.1272
0.756, 0.563239, 2.787311, -1.112036
0.754, 0.5979, 2.788755, -1.095428
0.752, 0.635449, 2.788755, -1.076653
0.75, 0.671554, 2.790199, -1.059322
0.748, 0.704771, 2.787311, -1.04127
0.746, 0.730766, 2.790199, -1.029716
0.744, 0.768316, 2.791643, -1.011664
0.742, 0.807309, 2.791643, -0.992167
0.74, 0.843414, 2.793087, -0.974837
0.738, 0.880963, 2.793087, -0.956062
0.736, 0.905515, 2.793087, -0.943786
0.734, 0.945953, 2.794532, -0.92429
0.732, 0.977725, 2.794532, -0.908403
0.73, 1.018163, 2.794532, -0.888184
0.729, 1.049935, 2.794532, -0.872298
0.727, 1.084596, 2.79742, -0.856412
0.725, 1.116369, 2.800308, -0.84197
0.723, 1.151029, 2.801753, -0.825362
0.721, 1.191467, 2.800308, -0.804421
0.719, 1.220351, 2.798864, -0.789257
0.717, 1.260789, 2.801753, -0.770482
0.715, 1.28534, 2.801753, -0.758206
0.713, 1.322889, 2.804641, -0.740876
0.711, 1.358994, 2.803197, -0.722101
0.709, 1.390767, 2.801753, -0.705493
0.707, 1.42976, 2.806085, -0.688163
0.705, 1.460089, 2.806085, -0.672998
0.703, 1.49475, 2.807529, -0.65639
0.701, 1.525078, 2.807529, -0.641226
0.699, 1.562627, 2.810418, -0.623895
0.697, 1.600176, 2.810418, -0.605121
0.695, 1.634837, 2.811862, -0.588512
0.693, 1.662277, 2.813306, -0.575515
0.691, 1.699826, 2.813306, -0.55674
0.689, 1.733043, 2.813306, -0.540132
0.688, 1.76626, 2.81475, -0.524245
0.686, 1.805253, 2.81475, -0.504749
0.684, 1.82836, 2.81475, -0.493195
0.682, 1.870242, 2.817639, -0.473698
0.68, 1.902014, 2.817639, -0.457812
0.678, 1.936675, 2.820527, -0.441926
0.676, 1.97278, 2.819083, -0.423151
0.674, 2.005997, 2.823416, -0.408709
0.672, 2.034881, 2.821971, -0.393545
0.67, 2.065209, 2.823416, -0.379103
0.668, 2.104203, 2.823416, -0.359607
0.666, 2.135975, 2.82486, -0.344442
0.664, 2.176413, 2.826304, -0.324946
0.662, 2.19952, 2.827748, -0.314114
