TIME μs, IN1, IN2, MATH
999.906, -3.050043, -2.923756, 0.127384
997.953, -3.025491, -2.89776, 0.12594
996, -2.986498, -2.858767, 0.12594
994.047, -2.959058, -2.826994, 0.121608
992.094, -2.922953, -2.789445, 0.120163
990.141, -2.891181, -2.757673, 0.120163
988.188, -2.870962, -2.740342, 0.123052
986.235, -2.82908, -2.692683, 0.117275
984.282, -2.80164, -2.666688, 0.118719
982.33, -2.771312, -2.637804, 0.120163
980.377, -2.74676, -2.60892, 0.115831
978.424, -2.716432, -2.580035, 0.117275
976.471, -2.677439, -2.542486, 0.118719
974.518, -2.634112, -2.496272, 0.115831
972.565, -2.611005, -2.474609, 0.117275
970.612, -2.579233, -2.439948, 0.114387
968.659, -2.543128, -2.403843, 0.114387
966.706, -2.521465, -2.383624, 0.115831
964.753, -2.470918, -2.331633, 0.114387
962.8, -2.449255, -2.302749, 0.107166
960.847, -2.414594, -2.275309, 0.114387
958.894, -2.391487, -2.242092, 0.104277
956.941, -2.362602, -2.211764, 0.102833
954.988, -2.320721, -2.174215, 0.107166
953.035, -2.281727, -2.130889, 0.102833
951.082, -2.257176, -2.11067, 0.107166
949.13, -2.225403, -2.073121, 0.101389
947.177, -2.196519, -2.041348, 0.0985
945.224, -2.169079, -2.016797, 0.101389
943.271, -2.121421, -1.969138, 0.101389
941.318, -2.102646, -1.946031, 0.097056
939.365, -2.069429, -1.914258, 0.0985
937.412, -2.046322, -1.888263, 0.095612
935.459, -2.020327, -1.860823, 0.094168
933.506, -1.977, -1.820385, 0.097056
931.553, -1.940895, -1.782836, 0.095612
929.6, -1.919232, -1.762617, 0.097056
927.647, -1.888904, -1.729401, 0.094168
925.694, -1.86002, -1.699072, 0.092723
923.741, -1.835469, -1.673077, 0.091279
921.788, -1.78781, -1.625418, 0.091279
919.835, -1.769035, -1.602311, 0.086947
917.882, -1.737263, -1.571982, 0.088391
915.93, -1.712712, -1.547431, 0.088391
913.977, -1.68816, -1.522879, 0.088391
912.024, -1.646278, -1.478109, 0.085503
910.071, -1.613062, -1.444893, 0.085503
908.118, -1.58851, -1.421785, 0.086947
906.165, -1.556738, -1.390013, 0.086947
904.212, -1.529298, -1.361129, 0.085503
902.259, -1.503302, -1.336577, 0.086947
900.306, -1.455643, -1.287475, 0.085503
898.353, -1.441201, -1.271588, 0.084058
896.4, -1.407985, -1.238372, 0.084058
894.447, -1.386322, -1.216709, 0.084058
892.494, -1.364659, -1.192157, 0.08117
890.541, -1.317, -1.150275, 0.086947
888.588, -1.285228, -1.111282, 0.079726
886.635, -1.263565, -1.093951, 0.084058
884.682, -1.236125, -1.060735, 0.078282
882.73, -1.207241, -1.037627, 0.084058
880.777, -1.178357, -1.005855, 0.08117
878.824, -1.133586, -0.961085, 0.08117
876.871, -1.114812, -0.945199, 0.084058
874.918, -1.081595, -0.909093, 0.08117
872.965, -1.058488, -0.883098, 0.078282
871.012, -1.036825, -0.857102, 0.073949
869.059, -0.987722, -0.816664, 0.082614
867.106, -0.957394, -0.780559, 0.076837
865.153, -0.934286, -0.760341, 0.079726
863.2, -0.905402, -0.728568, 0.076837
861.247, -0.880851, -0.699684, 0.072505
859.294, -0.850523, -0.673688, 0.076837
857.341, -0.804308, -0.62603, 0.075393
855.388, -0.789866, -0.610144, 0.073949
853.435, -0.75665, -0.578371, 0.075393
851.482, -0.732098, -0.55382, 0.075393
849.53, -0.710435, -0.532157, 0.075393
