TIME ms, IN1, IN2, MATH
1, -3.443088, -3.311666, 0.178578
0.998, -3.41276, -3.282781, 0.180022
0.996, -3.399762, -3.264007, 0.174245
0.994, -3.353547, -3.21346, 0.169912
0.992, -3.328996, -3.188908, 0.169912
0.99, -3.292891, -3.148471, 0.16558
0.988, -3.255342, -3.110921, 0.16558
0.986, -3.223569, -3.077705, 0.164136
0.984, -3.196129, -3.047376, 0.161247
0.982, -3.160024, -3.009827, 0.159803
0.98, -3.128252, -2.975166, 0.156915
0.979, -3.084926, -2.930396, 0.15547
0.977, -3.050265, -2.889958, 0.149694
0.975, -3.024269, -2.865407, 0.151138
0.973, -2.985276, -2.823525, 0.148249
0.971, -2.960724, -2.794641, 0.143917
0.969, -2.917398, -2.752759, 0.145361
0.967, -2.882737, -2.71521, 0.142473
0.965, -2.852409, -2.681993, 0.139584
0.963, -2.823525, -2.650221, 0.136696
0.961, -2.790308, -2.617004, 0.136696
0.959, -2.762869, -2.586676, 0.133807
0.957, -2.723875, -2.547682, 0.133807
0.955, -2.68777, -2.5058, 0.12803
0.953, -2.661774, -2.479805, 0.128031
0.951, -2.624225, -2.439367, 0.125142
0.949, -2.602562, -2.413372, 0.120809
0.947, -2.57079, -2.383043, 0.122254
0.945, -2.531796, -2.342606, 0.120809
0.943, -2.489914, -2.297835, 0.117921
0.941, -2.469696, -2.279061, 0.119365
0.939, -2.43359, -2.238623, 0.115033
0.938, -2.406151, -2.206851, 0.1107
0.936, -2.375822, -2.176522, 0.1107
0.934, -2.338273, -2.137529, 0.109256
0.932, -2.292059, -2.08987, 0.107812
0.93, -2.276172, -2.071095, 0.104923
0.928, -2.237179, -2.030658, 0.103479
0.926, -2.214072, -2.006107, 0.102035
0.924, -2.186632, -1.977222, 0.100591
0.922, -2.140417, -1.92812, 0.097702
0.92, -2.114422, -1.902124, 0.097702
0.918, -2.084093, -1.870351, 0.096258
0.916, -2.049433, -1.834246, 0.094814
0.914, -2.02777, -1.809695, 0.091925
0.912, -1.97289, -1.754815, 0.091925
0.91, -1.952671, -1.734596, 0.091925
0.908, -1.919454, -1.695603, 0.086149
0.906, -1.886238, -1.663831, 0.087593
0.904, -1.871796, -1.645056, 0.08326
0.902, -1.822693, -1.595953, 0.08326
0.9, -1.803918, -1.575734, 0.081816
0.898, -1.76348, -1.536741, 0.08326
0.896, -1.741817, -1.513633, 0.081816
0.895, -1.71871, -1.490526, 0.081816
0.893, -1.684049, -1.454421, 0.080372
0.891, -1.645056, -1.412539, 0.077483
0.889, -1.617616, -1.383655, 0.076039
0.887, -1.587288, -1.353327, 0.076039
0.885, -1.554071, -1.318666, 0.074595
0.883, -1.533852, -1.295559, 0.071707
0.881, -1.477528, -1.239235, 0.071707
0.879, -1.442868, -1.20313, 0.070262
0.877, -1.424093, -1.181467, 0.067374
0.875, -1.385099, -1.142473, 0.067374
0.873, -1.37499, -1.13092, 0.06593
0.871, -1.333108, -1.087594, 0.064485
0.869, -1.311445, -1.065931, 0.064486
0.867, -1.273896, -1.028382, 0.064486
0.865, -1.243568, -0.998053, 0.064486
0.863, -1.22046, -0.970613, 0.060153
0.861, -1.188688, -0.943174, 0.064486
0.859, -1.152583, -0.899847, 0.057265
0.857, -1.120811, -0.868075, 0.057265
0.855, -1.093371, -0.840635, 0.057265
0.854, -1.05871, -0.80453, 0.05582
0.852, -1.041379, -0.788644, 0.057265
0.85, -0.999497, -0.745318, 0.05582
0.848, -0.972058, -0.71499, 0.052932
0.846, -0.91429, -0.654333, 0.050044
0.844, -0.902736, -0.645668, 0.052932
0.842, -0.879629, -0.621116, 0.051488
0.84, -0.842079, -0.582123, 0.050044
0.838, -0.821861, -0.56046, 0.048599
0.836, -0.784311, -0.521466, 0.047155
0.834, -0.74965, -0.489694, 0.050044
0.832, -0.722211, -0.459366, 0.047155
0.83, -0.699103, -0.437703, 0.048599
0.828, -0.670219, -0.40593, 0.045711
0.826, -0.641335, -0.375602, 0.044267
0.824, -0.599453, -0.33372, 0.044267
0.822, -0.576346, -0.30628, 0.039934
0.82, -0.551795, -0.286061, 0.044267
0.818, -0.520022, -0.249956, 0.039934
0.816, -0.491138, -0.221072, 0.039934
0.814, -0.44348, -0.174858, 0.041378
0.813, -0.418928, -0.148862, 0.039934
0.811, -0.3886, -0.118534, 0.039934
0.809, -0.362604, -0.091094, 0.03849
0.807, -0.349606, -0.075208, 0.035602
0.805, -0.304836, -0.028993, 0.034157
0.803, -0.28895, -0.015996, 0.037046
0.801, -0.255733, 0.014333, 0.039934
0.799, -0.228293, 0.044661, 0.037046
0.797, -0.205186, 0.069212, 0.035602
0.795, -0.157527, 0.116871, 0.035602
0.793, -0.104092, 0.173195, 0.032713
0.791, -0.105536, 0.173195, 0.031269
0.789, -0.067987, 0.210744, 0.031269
0.787, -0.046324, 0.232407, 0.031269
0.785, -0.004442, 0.274289, 0.031269
0.783, 0.033107, 0.314727, 0.028381
0.781, 0.038884, 0.320504, 0.028381
0.779, 0.086543, 0.369606, 0.026936
0.777, 0.095208, 0.376827, 0.028381
0.775, 0.132757, 0.414377, 0.028381
0.773, 0.173195, 0.457703, 0.025492
0.771, 0.202079, 0.485143, 0.026936
0.77, 0.225186, 0.50825, 0.026936
0.768, 0.25407, 0.53569, 0.02838
0.766, 0.274289, 0.554464, 0.029825
0.764, 0.329169, 0.599235, 0.039934
0.762, 0.342167, 0.605011, 0.047155
0.76, 0.369606, 0.616565, 0.063041
0.758, 0.404267, 0.632451, 0.081816
0.756, 0.417265, 0.631007, 0.096258
0.754, 0.469256, 0.649782, 0.129475
0.752, 0.512582, 0.659891, 0.162691
0.75, 0.518359, 0.649782, 0.178578
0.748, 0.563129, 0.658447, 0.214683
0.746, 0.570351, 0.65267, 0.22768
0.744, 0.606456, 0.657003, 0.259453
0.742, 0.646893, 0.665668, 0.291225
0.74, 0.668556, 0.659891, 0.318665
0.738, 0.698885, 0.659891, 0.348994
