TIME ms, IN1, IN2, MATH
1, -1.086445, -1.010183, -0.987043
0.998, -1.068721, -0.992459, -0.987043
0.996, -1.04837, -0.972765, -0.984369
0.994, -1.02802, -0.951759, -0.987043
0.992, -1.008983, -0.934035, -0.981694
0.99, -0.990602, -0.914997, -0.984368
0.988, -0.974847, -0.900555, -0.97902
0.986, -0.959092, -0.882831, -0.987043
0.984, -0.942025, -0.86642, -0.984369
0.982, -0.9243, -0.848695, -0.984368
0.98, -0.90395, -0.830315, -0.976345
0.979, -0.887539, -0.81259, -0.981694
0.977, -0.871784, -0.796835, -0.981694
0.975, -0.849464, -0.775829, -0.976345
0.973, -0.834366, -0.758104, -0.987043
0.971, -0.813359, -0.738411, -0.981694
0.969, -0.79104, -0.716091, -0.981694
0.967, -0.776598, -0.700336, -0.987043
0.965, -0.757561, -0.683269, -0.97902
0.963, -0.73721, -0.661605, -0.984369
0.961, -0.712922, -0.637317, -0.984369
0.959, -0.690602, -0.61631, -0.979019
0.957, -0.677473, -0.604494, -0.973671
0.955, -0.657779, -0.582831, -0.981694
0.953, -0.63546, -0.560511, -0.981694
0.951, -0.61314, -0.538192, -0.981694
0.949, -0.591477, -0.515872, -0.984369
0.947, -0.574409, -0.498148, -0.987043
0.945, -0.553403, -0.478454, -0.981694
0.943, -0.532396, -0.457448, -0.981694
0.941, -0.510733, -0.435128, -0.984368
0.939, -0.48907, -0.412152, -0.989717
0.938, -0.467407, -0.390489, -0.989717
0.936, -0.454278, -0.378673, -0.984368
0.934, -0.432615, -0.357667, -0.981694
0.932, -0.410296, -0.334691, -0.984368
0.93, -0.391258, -0.313684, -0.992392
0.928, -0.369595, -0.293334, -0.987043
0.926, -0.357779, -0.280861, -0.989717
0.924, -0.338742, -0.259855, -0.997741
0.922, -0.315766, -0.239505, -0.987043
0.92, -0.294103, -0.217842, -0.987043
0.918, -0.273753, -0.197491, -0.987043
0.916, -0.253403, -0.177141, -0.987043
0.914, -0.24093, -0.164669, -0.987043
0.912, -0.221236, -0.143006, -0.995066
0.91, -0.201543, -0.125281, -0.987043
0.908, -0.178567, -0.102305, -0.987043
0.906, -0.156904, -0.081955, -0.981694
0.904, -0.145744, -0.070795, -0.981694
0.902, -0.124737, -0.049789, -0.981694
0.9, -0.101105, -0.026813, -0.97902
0.898, -0.080098, -0.00515, -0.981694
0.896, -0.061061, 0.013231, -0.979019
0.895, -0.047932, 0.027016, -0.981694
0.893, -0.025613, 0.048023, -0.976345
0.891, -0.005262, 0.070343, -0.984368
0.889, 0.016401, 0.091349, -0.981694
0.887, 0.038064, 0.114325, -0.987043
0.885, 0.057757, 0.133362, -0.984368
0.883, 0.07023, 0.147804, -0.992392
0.881, 0.093206, 0.169467, -0.987043
0.879, 0.1129, 0.190474, -0.992392
0.877, 0.133906, 0.212137, -0.995066
0.875, 0.1536, 0.229861, -0.987043
0.873, 0.167385, 0.24496, -0.992392
0.871, 0.188392, 0.265966, -0.992392
0.869, 0.211368, 0.288942, -0.992392
0.867, 0.233031, 0.310605, -0.992392
0.865, 0.249442, 0.327673, -0.995066
0.863, 0.267823, 0.346054, -0.995066
0.861, 0.283578, 0.360496, -0.989717
0.859, 0.304585, 0.382815, -0.995066
0.857, 0.325591, 0.403166, -0.992392
0.855, 0.345941, 0.422859, -0.989717
0.854, 0.364979, 0.442553, -0.992392
0.852, 0.380734, 0.458964, -0.995066
0.85, 0.401084, 0.479314, -0.995066
0.848, 0.422747, 0.499665, -0.989717
0.846, 0.44244, 0.521328, -0.997741
0.844, 0.462134, 0.539708, -0.992392
0.842, 0.478545, 0.55612, -0.992392
0.84, 0.500208, 0.577783, -0.992392
0.838, 0.521871, 0.600102, -0.995067
0.836, 0.541565, 0.620452, -0.997741
0.834, 0.560602, 0.63752, -0.989717
0.832, 0.582265, 0.657214, -0.981694
0.83, 0.59999, 0.675595, -0.984369
0.828, 0.620996, 0.696601, -0.984369
0.826, 0.64069, 0.716295, -0.984369
0.824, 0.66104, 0.737301, -0.987043
0.822, 0.68139, 0.756995, -0.984368
0.82, 0.699771, 0.775376, -0.984368
0.818, 0.718808, 0.79507, -0.987043
0.816, 0.737845, 0.816076, -0.995067
0.814, 0.758852, 0.837083, -0.995067
0.813, 0.775263, 0.854151, -0.997741
0.811, 0.79627, 0.873188, -0.989717
0.809, 0.815964, 0.894194, -0.995066
0.807, 0.83697, 0.913888, -0.989718
0.805, 0.854694, 0.930956, -0.987043
0.803, 0.874388, 0.951306, -0.989717
0.801, 0.891456, 0.969687, -0.995066
0.799, 0.910493, 0.986755, -0.987043
0.797, 0.92953, 1.007761, -0.995066
0.795, 0.947911, 1.027455, -1.000415
0.793, 0.967605, 1.046492, -0.997741
0.791, 0.989268, 1.066186, -0.989717
0.789, 1.007649, 1.085879, -0.995067
0.787, 1.025373, 1.103604, -0.995066
0.785, 1.045723, 1.121328, -0.984368
0.783, 1.06673, 1.142991, -0.987043
0.781, 1.08511, 1.162685, -0.992392
0.779, 1.106773, 1.183691, -0.989718
0.777, 1.124498, 1.200759, -0.987043
0.775, 1.146817, 1.222422, -0.984369
0.773, 1.167167, 1.243429, -0.987043
0.771, 1.183579, 1.261153, -0.992392
0.77, 1.205898, 1.281503, -0.984368
0.768, 1.223622, 1.299227, -0.984368
0.766, 1.242003, 1.318921, -0.989718
0.764, 1.26104, 1.336646, -0.984369
0.762, 1.28336, 1.359622, -0.987044
0.76, 1.305023, 1.381941, -0.989718
0.758, 1.327342, 1.402948, -0.984369
0.756, 1.340472, 1.41542, -0.981694
0.754, 1.362135, 1.437083, -0.981694
0.752, 1.381828, 1.457433, -0.984368
0.75, 1.406774, 1.479096, -0.970996
0.748, 1.425811, 1.499446, -0.976345
0.746, 1.440253, 1.513888, -0.976345
0.744, 1.461259, 1.530956, -0.960299
0.742, 1.480297, 1.551963, -0.968322
0.74, 1.499334, 1.570344, -0.965648
0.738, 1.520997, 1.589381, -0.95495
0.736, 1.532157, 1.603823, -0.968321
0.734, 1.553163, 1.620234, -0.949601
0.732, 1.572857, 1.641241, -0.95495
0.73, 1.593207, 1.660935, -0.952275
0.729, 1.614214, 1.679972, -0.944252
0.727, 1.636533, 1.701635, -0.941578
0.725, 1.647036, 1.712138, -0.941578
0.723, 1.669356, 1.732488, -0.933554
0.721, 1.691019, 1.751525, -0.922856
0.719, 1.712025, 1.770563, -0.914834
0.717, 1.732376, 1.790256, -0.912158
0.715, 1.745505, 1.80076, -0.90146
0.713, 1.765198, 1.819797, -0.898786
0.711, 1.789487, 1.83949, -0.880064
0.709, 1.808524, 1.858528, -0.880064
0.707, 1.830844, 1.876909, -0.864019
0.705, 1.852507, 1.897915, -0.861344
0.703, 1.86301, 1.906449, -0.853321
0.701, 1.883361, 1.924173, -0.842622
0.699, 1.907649, 1.941241, -0.813205
0.697, 1.927999, 1.961591, -0.813205
0.695, 1.950319, 1.979316, -0.794483
0.693, 1.961479, 1.987193, -0.78111
0.691, 1.981172, 2.004917, -0.773087
0.689, 2.000866, 2.019359, -0.751692
0.688, 2.023842, 2.036427, -0.727621
0.686, 2.043535, 2.051526, -0.708901
0.684, 2.056008, 2.062029, -0.700876
0.682, 2.077015, 2.076471, -0.674132
0.68, 2.099334, 2.093539, -0.652738
0.678, 2.116402, 2.106011, -0.634015
0.676, 2.138065, 2.120453, -0.604596
0.674, 2.154477, 2.135552, -0.599248
0.672, 2.166293, 2.14146, -0.575178
0.67, 2.187299, 2.157215, -0.553783
0.668, 2.207649, 2.171, -0.527038
0.666, 2.229312, 2.183473, -0.489596
0.664, 2.246381, 2.194633, -0.465525
0.662, 2.25754, 2.203167, -0.454827
0.66, 2.280516, 2.214983, -0.409362
0.658, 2.29824, 2.228112, -0.390641
0.656, 2.319903, 2.240585, -0.353199
0.654, 2.336315, 2.251745, -0.331803
0.652, 2.356009, 2.262904, -0.297035
0.65, 2.371107, 2.270782, -0.267616
0.648, 2.388831, 2.282598, -0.243546
0.646, 2.408525, 2.293758, -0.208778
0.645, 2.425593, 2.301635, -0.171337
0.643, 2.443973, 2.312138, -0.139243
0.641, 2.460385, 2.31936, -0.1018
0.639, 2.479422, 2.330519, -0.069707
0.637, 2.500429, 2.341679, -0.02959
0.635, 2.517497, 2.352182, -0.002846
0.633, 2.536534, 2.36006, 0.04262
0.631, 2.552945, 2.366624, 0.082736
0.629, 2.571326, 2.377128, 0.114831
0.627, 2.592333, 2.386318, 0.16297
0.625, 2.609401, 2.396165, 0.192389
0.623, 2.627125, 2.401417, 0.243204
0.621, 2.646162, 2.411263, 0.280645
0.619, 2.662573, 2.419141, 0.315414
0.617, 2.682267, 2.426362, 0.366228
0.615, 2.695396, 2.434239, 0.387624
0.613, 2.714433, 2.442773, 0.430415
0.611, 2.730844, 2.449338, 0.470532
0.609, 2.748569, 2.456559, 0.513322
0.607, 2.764981, 2.465093, 0.545417
0.605, 2.784674, 2.470344, 0.604255
0.604, 2.801742, 2.478878, 0.639022
0.602, 2.818153, 2.486099, 0.676464
0.6, 2.835221, 2.492007, 0.72193
0.598, 2.852289, 2.500541, 0.756698
0.596, 2.8687, 2.503824, 0.810186
0.594, 2.887081, 2.512357, 0.850304
0.592, 2.906118, 2.516953, 0.909141
0.59, 2.92253, 2.523517, 0.949257
0.588, 2.941567, 2.530082, 1.000072
0.586, 2.957322, 2.53599, 1.04019
0.584, 2.975703, 2.542555, 1.088329
0.582, 2.991457, 2.548462, 1.128446
0.58, 3.010495, 2.556997, 1.171237
0.578, 3.02625, 2.559622, 1.224726
0.576, 3.044631, 2.568156, 1.264843
0.574, 3.063011, 2.572095, 1.323681
0.572, 3.079422, 2.579973, 1.358449
0.57, 3.09846, 2.583911, 1.419961
0.568, 3.115528, 2.592445, 1.454729
0.566, 3.133908, 2.596384, 1.513566
0.564, 3.15032, 2.602948, 1.553684
0.563, 3.168701, 2.606231, 1.615196
0.561, 3.184455, 2.613451, 1.649964
0.559, 3.204149, 2.61739, 1.71415
0.557, 3.219904, 2.623955, 1.751592
0.555, 3.236972, 2.627894, 1.805082
0.553, 3.252727, 2.636427, 1.834501
0.551, 3.269795, 2.638397, 1.896013
0.549, 3.288832, 2.646275, 1.941478
0.547, 3.307869, 2.650213, 2.00299
0.545, 3.322968, 2.654809, 2.045782
0.543, 3.338722, 2.659404, 2.091248
0.541, 3.358416, 2.663342, 2.155435
0.539, 3.376797, 2.66925, 2.206249
0.537, 3.395178, 2.672533, 2.267761
0.535, 3.406994, 2.677128, 2.297181
0.533, 3.426031, 2.681723, 2.356019
0.531, 3.441786, 2.685005, 2.406833
0.529, 3.462793, 2.692883, 2.460321
0.527, 3.480517, 2.696822, 2.516484
0.525, 3.494303, 2.70076, 2.556602
0.523, 3.51137, 2.706012, 2.604742
0.521, 3.528438, 2.709294, 2.660905
0.52, 3.545506, 2.714546, 2.709045
0.518, 3.567169, 2.717828, 2.783929
0.516, 3.58358, 2.72308, 2.829395
0.514, 3.597366, 2.726362, 2.872186
0.512, 3.615091, 2.729644, 2.931026
0.51, 3.634128, 2.736866, 2.979165
0.508, 3.649226, 2.739491, 3.029979
0.506, 3.670889, 2.744743, 3.096841
0.504, 3.680736, 2.748682, 3.120911
0.502, 3.699117, 2.751964, 3.182424
0.5, 3.703712, 2.751964, 3.201144
0.498, 3.685988, 2.748025, 3.144981
0.496, 3.666294, 2.742117, 3.088817
0.494, 3.648569, 2.740148, 3.024629
0.492, 3.63741, 2.737522, 2.989862
0.49, 3.620342, 2.731614, 2.944396
0.488, 3.600648, 2.728331, 2.877536
0.486, 3.582268, 2.722423, 2.826721
0.484, 3.56323, 2.718485, 2.765208
0.482, 3.551414, 2.717172, 2.722417
0.48, 3.534346, 2.710607, 2.679626
0.479, 3.513996, 2.707325, 2.610091
0.477, 3.494303, 2.70076, 2.556602
0.475, 3.476578, 2.697478, 2.497764
0.473, 3.465419, 2.694196, 2.46567
0.471, 3.446381, 2.688288, 2.412182
0.469, 3.428, 2.685005, 2.35067
0.467, 3.40765, 2.678441, 2.294507
0.465, 3.389926, 2.675159, 2.235668
0.463, 3.372202, 2.668594, 2.190202
0.461, 3.358416, 2.664655, 2.150086
0.459, 3.340692, 2.658091, 2.10462
0.457, 3.320342, 2.652839, 2.043107
0.455, 3.302618, 2.647587, 1.992293
0.453, 3.282924, 2.642336, 1.933456
0.451, 3.273733, 2.641023, 1.901362
0.449, 3.25404, 2.634458, 1.847873
0.447, 3.234346, 2.631176, 1.781011
0.445, 3.213996, 2.622642, 1.732872
0.443, 3.20021, 2.618703, 1.692755
0.441, 3.181173, 2.612139, 1.64194
0.439, 3.17067, 2.6082, 1.615196
0.438, 3.15032, 2.602292, 1.556358
0.436, 3.133908, 2.596384, 1.513566
0.434, 3.114871, 2.591132, 1.457403
0.432, 3.099116, 2.584568, 1.419961
0.43, 3.082705, 2.581942, 1.363798
0.428, 3.065637, 2.574721, 1.323681
0.426, 3.044631, 2.568813, 1.262169
0.424, 3.030188, 2.562248, 1.230075
0.422, 3.009838, 2.555684, 1.173912
0.42, 2.996709, 2.551088, 1.139144
0.418, 2.977672, 2.542555, 1.096353
0.416, 2.958635, 2.537959, 1.037515
0.414, 2.941567, 2.530082, 1.000072
0.412, 2.923842, 2.528112, 0.935886
0.41, 2.906775, 2.518266, 0.906467
0.408, 2.888394, 2.512357, 0.855653
0.406, 2.871326, 2.506449, 0.810188
0.404, 2.852946, 2.500541, 0.759372
0.402, 2.836534, 2.492664, 0.724604
0.4, 2.818153, 2.483473, 0.687162
0.398, 2.801742, 2.478878, 0.639022
0.396, 2.784018, 2.472314, 0.593557
0.395, 2.765637, 2.464436, 0.550766
0.393, 2.749225, 2.459185, 0.505299
0.391, 2.729532, 2.450651, 0.459834
0.389, 2.714433, 2.442117, 0.43309
0.387, 2.69474, 2.435552, 0.3796
0.385, 2.677672, 2.426362, 0.347508
0.383, 2.659947, 2.417828, 0.310064
0.381, 2.644192, 2.41192, 0.269948
0.379, 2.625812, 2.402729, 0.232506
0.377, 2.608744, 2.393539, 0.200412
0.375, 2.591676, 2.385005, 0.165645
0.373, 2.573952, 2.377784, 0.122853
0.371, 2.555571, 2.369907, 0.080062
0.369, 2.535877, 2.36006, 0.039945
0.367, 2.521435, 2.350869, 0.01855
0.365, 2.503055, 2.343648, -0.026916
0.363, 2.486643, 2.335771, -0.061683
0.361, 2.467606, 2.325924, -0.099127
0.359, 2.446599, 2.315421, -0.141917
0.357, 2.430188, 2.303605, -0.160639
0.355, 2.412464, 2.295071, -0.19808
0.354, 2.39277, 2.285224, -0.238197
0.352, 2.377015, 2.274064, -0.256918
0.35, 2.356009, 2.263561, -0.299709
0.348, 2.338284, 2.252401, -0.326454
0.346, 2.321216, 2.243867, -0.361223
0.344, 2.301523, 2.232707, -0.39599
0.342, 2.286424, 2.220235, -0.406688
0.34, 2.263448, 2.207762, -0.449478
0.338, 2.243098, 2.194633, -0.478898
0.336, 2.228656, 2.184129, -0.494944
0.334, 2.210275, 2.172313, -0.521689
0.332, 2.191238, 2.158528, -0.543085
0.33, 2.171544, 2.144742, -0.567154
0.328, 2.150538, 2.130957, -0.596574
0.326, 2.128875, 2.117828, -0.631341
0.324, 2.115746, 2.107981, -0.644713
0.322, 2.095396, 2.091569, -0.66076
0.32, 2.075046, 2.077784, -0.687504
0.318, 2.056664, 2.064655, -0.708901
0.316, 2.035002, 2.046931, -0.724948
0.314, 2.021873, 2.035771, -0.73297
0.313, 2.004148, 2.023298, -0.754366
0.311, 1.983142, 2.008856, -0.78111
0.309, 1.963448, 1.991132, -0.789133
0.307, 1.943098, 1.974064, -0.802506
0.305, 1.922091, 1.958309, -0.823901
0.303, 1.912244, 1.946493, -0.815878
0.301, 1.889925, 1.930081, -0.839948
0.299, 1.869575, 1.91367, -0.855995
0.297, 1.849225, 1.89332, -0.855995
0.295, 1.828218, 1.875596, -0.869368
0.293, 1.816402, 1.865749, -0.87739
0.291, 1.796052, 1.846055, -0.880064
0.289, 1.773076, 1.827018, -0.896111
0.287, 1.752069, 1.80995, -0.912158
0.285, 1.731719, 1.7896, -0.912158
0.283, 1.719903, 1.779753, -0.920182
0.281, 1.698896, 1.760716, -0.928205
0.279, 1.677233, 1.739709, -0.93088
0.277, 1.656227, 1.721328, -0.941578
0.275, 1.632594, 1.699009, -0.946927
0.273, 1.610275, 1.678002, -0.952275
0.271, 1.600428, 1.670781, -0.962972
0.27, 1.578109, 1.648462, -0.962972
0.268, 1.558415, 1.628768, -0.962972
