[s],MA1[]
-9.99960e-04,4.55638E-02
-9.99920e-04,4.54712E-02
-9.99880e-04,4.54712E-02
-9.99840e-04,4.54712E-02
-9.99800e-04,4.55638E-02
-9.99760e-04,4.55995E-02
-9.99720e-04,4.55638E-02
-9.99680e-04,4.56565E-02
-9.99640e-04,4.56280E-02
-9.99600e-04,4.56280E-02
-9.99560e-04,4.57207E-02
-9.99520e-04,4.58775E-02
-9.99480e-04,4.59060E-02
-9.99440e-04,4.60058E-02
-9.99400e-04,4.60343E-02
-9.99360e-04,4.60343E-02
-9.99320e-04,4.64121E-02
-9.99280e-04,4.76309E-02
-9.99240e-04,4.77236E-02
-9.99200e-04,4.65617E-02
-9.99160e-04,4.68184E-02
-9.99120e-04,4.74100E-02
-9.99080e-04,4.71248E-02
-9.99040e-04,4.68754E-02
-9.99000e-04,4.71890E-02
-9.98960e-04,4.72532E-02
-9.98920e-04,4.70037E-02
-9.98880e-04,4.71248E-02
-9.98840e-04,4.73458E-02
-9.98800e-04,4.72817E-02
-9.98760e-04,4.71890E-02
-9.98720e-04,4.72532E-02
-9.98680e-04,4.72817E-02
-9.98640e-04,4.72246E-02
-9.98600e-04,4.72817E-02
-9.98560e-04,4.72532E-02
-9.98520e-04,4.73173E-02
-9.98480e-04,4.72817E-02
-9.98440e-04,4.72817E-02
-9.98400e-04,4.72246E-02
-9.98360e-04,4.71605E-02
-9.98320e-04,4.71890E-02
-9.98280e-04,4.72532E-02
-9.98240e-04,4.72817E-02
-9.98200e-04,4.72817E-02
-9.98160e-04,4.73458E-02
-9.98120e-04,4.73743E-02
-9.98080e-04,4.73458E-02
-9.98040e-04,4.73173E-02
-9.98000e-04,4.73458E-02
-9.97960e-04,4.73173E-02
-9.97920e-04,4.73743E-02
-9.97880e-04,4.73458E-02
-9.97840e-04,4.73173E-02
-9.97800e-04,4.73173E-02
-9.97760e-04,4.73173E-02
-9.97720e-04,4.73173E-02
-9.97680e-04,4.72532E-02
-9.97640e-04,4.72817E-02
-9.97600e-04,4.72246E-02
-9.97560e-04,4.72532E-02
-9.97520e-04,4.72817E-02
-9.97480e-04,4.82225E-02
-9.97440e-04,4.83794E-02
-9.97400e-04,4.71890E-02
-9.97360e-04,4.69110E-02
-9.97320e-04,4.73743E-02
-9.97280e-04,4.75311E-02
-9.97240e-04,4.73458E-02
-9.97200e-04,4.74385E-02
-9.97160e-04,4.76594E-02
-9.97120e-04,4.76309E-02
-9.97080e-04,4.75026E-02
-9.97040e-04,4.75953E-02
-9.97000e-04,4.77236E-02
-9.96960e-04,4.76880E-02
-9.96920e-04,4.76309E-02
-9.96880e-04,4.76309E-02
-9.96840e-04,4.76309E-02
-9.96800e-04,4.76880E-02
-9.96760e-04,4.76594E-02
-9.96720e-04,4.77521E-02
-9.96680e-04,4.78163E-02
-9.96640e-04,4.77806E-02
-9.96600e-04,4.78163E-02
-9.96560e-04,4.78448E-02
-9.96520e-04,4.78804E-02
-9.96480e-04,4.79089E-02
-9.96440e-04,4.79731E-02
-9.96400e-04,4.80657E-02
-9.96360e-04,4.80942E-02
-9.96320e-04,4.81299E-02
-9.96280e-04,4.81299E-02
-9.96240e-04,4.81584E-02
-9.96200e-04,4.82225E-02
-9.96160e-04,4.81869E-02
-9.96120e-04,4.83152E-02
-9.96080e-04,4.83794E-02
-9.96040e-04,4.83437E-02
-9.96000e-04,4.84435E-02
-9.95960e-04,4.84435E-02
-9.95920e-04,4.85362E-02
-9.95880e-04,4.86573E-02
-9.95840e-04,4.86573E-02
-9.95800e-04,4.87500E-02
-9.95760e-04,4.86930E-02
-9.95720e-04,4.87500E-02
-9.95680e-04,4.87856E-02
-9.95640e-04,4.88142E-02
-9.95600e-04,4.89068E-02
-9.95560e-04,4.89425E-02
-9.95520e-04,4.89995E-02
-9.95480e-04,4.90636E-02
-9.95440e-04,4.90993E-02
-9.95400e-04,4.91919E-02
-9.95360e-04,4.92204E-02
-9.95320e-04,4.91919E-02
-9.95280e-04,4.92561E-02
-9.95240e-04,4.93131E-02
-9.95200e-04,4.93131E-02
-9.95160e-04,4.93773E-02
-9.95120e-04,4.94058E-02
-9.95080e-04,4.94058E-02
-9.95040e-04,4.93773E-02
-9.95000e-04,4.94058E-02
-9.94960e-04,4.94058E-02
-9.94920e-04,4.94414E-02
-9.94880e-04,4.95056E-02
-9.94840e-04,4.96267E-02
-9.94800e-04,4.96909E-02
-9.94760e-04,4.97835E-02
-9.94720e-04,4.98477E-02
-9.94680e-04,4.98762E-02
-9.94640e-04,4.99118E-02
-9.94600e-04,4.99689E-02
-9.94560e-04,5.00687E-02
-9.94520e-04,5.00972E-02
-9.94480e-04,5.00972E-02
-9.94440e-04,5.01613E-02
-9.94400e-04,5.02183E-02
-9.94360e-04,5.01898E-02
-9.94320e-04,5.02825E-02
-9.94280e-04,5.03181E-02
-9.94240e-04,5.02825E-02
-9.94200e-04,5.03752E-02
-9.94160e-04,5.04393E-02
-9.94120e-04,5.04749E-02
-9.94080e-04,5.05676E-02
-9.94040e-04,5.06246E-02
-9.94000e-04,5.06603E-02
-9.93960e-04,5.06888E-02
-9.93920e-04,5.06888E-02
-9.93880e-04,5.08812E-02
-9.93840e-04,5.09097E-02
-9.93800e-04,5.09383E-02
-9.93760e-04,5.09383E-02
-9.93720e-04,5.10024E-02
-9.93680e-04,5.10309E-02
-9.93640e-04,5.10309E-02
-9.93600e-04,5.10951E-02
-9.93560e-04,5.11877E-02
-9.93520e-04,5.11592E-02
-9.93480e-04,5.11307E-02
-9.93440e-04,5.11307E-02
-9.93400e-04,5.10951E-02
-9.93360e-04,5.11877E-02
-9.93320e-04,5.12519E-02
-9.93280e-04,5.10951E-02
-9.93240e-04,5.03181E-02
-9.93200e-04,5.03181E-02
-9.93160e-04,5.10951E-02
-9.93120e-04,5.09739E-02
-9.93080e-04,5.06888E-02
-9.93040e-04,5.09097E-02
-9.93000e-04,5.11307E-02
-9.92960e-04,5.09739E-02
-9.92920e-04,5.09097E-02
-9.92880e-04,5.10666E-02
-9.92840e-04,5.10309E-02
-9.92800e-04,5.09097E-02
-9.92760e-04,5.10024E-02
-9.92720e-04,5.11307E-02
-9.92680e-04,5.10666E-02
-9.92640e-04,5.10951E-02
-9.92600e-04,5.12234E-02
-9.92560e-04,5.11877E-02
-9.92520e-04,5.12519E-02
-9.92480e-04,5.12804E-02
-9.92440e-04,5.13445E-02
-9.92400e-04,5.13445E-02
-9.92360e-04,5.14372E-02
-9.92320e-04,5.15014E-02
-9.92280e-04,5.14372E-02
-9.92240e-04,5.14728E-02
-9.92200e-04,5.14087E-02
-9.92160e-04,5.14728E-02
-9.92120e-04,5.14728E-02
-9.92080e-04,5.14372E-02
-9.92040e-04,5.15655E-02
-9.92000e-04,5.16297E-02
-9.91960e-04,5.16582E-02
-9.91920e-04,5.16867E-02
-9.91880e-04,5.16867E-02
-9.91840e-04,5.17223E-02
-9.91800e-04,5.17223E-02
-9.91760e-04,5.18150E-02
-9.91720e-04,5.18791E-02
-9.91680e-04,5.19433E-02
-9.91640e-04,5.19718E-02
-9.91600e-04,5.20003E-02
-9.91560e-04,5.20645E-02
-9.91520e-04,5.20645E-02
-9.91480e-04,5.20645E-02
-9.91440e-04,5.12519E-02
-9.91400e-04,5.11877E-02
-9.91360e-04,5.23496E-02
-9.91320e-04,5.27202E-02
-9.91280e-04,5.23139E-02
-9.91240e-04,5.22213E-02
-9.91200e-04,5.24422E-02
-9.91160e-04,5.24066E-02
-9.91120e-04,5.21571E-02
-9.91080e-04,5.22498E-02
-9.91040e-04,5.24066E-02
-9.91000e-04,5.23139E-02
-9.90960e-04,5.22213E-02
-9.90920e-04,5.23139E-02
-9.90880e-04,5.24066E-02
-9.90840e-04,5.23781E-02
-9.90800e-04,5.24708E-02
-9.90760e-04,5.25349E-02
-9.90720e-04,5.26276E-02
-9.90680e-04,5.25991E-02
-9.90640e-04,5.26917E-02
-9.90600e-04,5.27202E-02
-9.90560e-04,5.27559E-02
-9.90520e-04,5.27844E-02
-9.90480e-04,5.29056E-02
-9.90440e-04,5.29412E-02
-9.90400e-04,5.29697E-02
-9.90360e-04,5.29697E-02
-9.90320e-04,5.30053E-02
-9.90280e-04,5.30339E-02
-9.90240e-04,5.30980E-02
-9.90200e-04,5.31265E-02
-9.90160e-04,5.31265E-02
-9.90120e-04,5.32192E-02
-9.90080e-04,5.32548E-02
-9.90040e-04,5.32548E-02
-9.90000e-04,5.32833E-02
-9.89960e-04,5.32833E-02
-9.89920e-04,5.33760E-02
-9.89880e-04,5.33760E-02
-9.89840e-04,5.34116E-02
-9.89800e-04,5.34687E-02
-9.89760e-04,5.34687E-02
-9.89720e-04,5.35970E-02
-9.89680e-04,5.36611E-02
-9.89640e-04,5.37181E-02
-9.89600e-04,5.38464E-02
-9.89560e-04,5.38179E-02
-9.89520e-04,5.37823E-02
-9.89480e-04,5.38464E-02
-9.89440e-04,5.39106E-02
-9.89400e-04,5.38749E-02
-9.89360e-04,5.38749E-02
-9.89320e-04,5.39391E-02
-9.89280e-04,5.39391E-02
-9.89240e-04,5.40032E-02
-9.89200e-04,5.40318E-02
-9.89160e-04,5.40674E-02
-9.89120e-04,5.40959E-02
-9.89080e-04,5.41886E-02
-9.89040e-04,5.42812E-02
-9.89000e-04,5.43810E-02
-9.88960e-04,5.44737E-02
-9.88920e-04,5.45307E-02
-9.88880e-04,5.45022E-02
-9.88840e-04,5.45663E-02
-9.88800e-04,5.45663E-02
-9.88760e-04,5.45307E-02
-9.88720e-04,5.45022E-02
-9.88680e-04,5.44737E-02
-9.88640e-04,5.45022E-02
-9.88600e-04,5.45307E-02
-9.88560e-04,5.44737E-02
-9.88520e-04,5.45022E-02
-9.88480e-04,5.45663E-02
-9.88440e-04,5.45949E-02
-9.88400e-04,5.46305E-02
-9.88360e-04,5.46305E-02
-9.88320e-04,5.46590E-02
-9.88280e-04,5.46590E-02
-9.88240e-04,5.47873E-02
-9.88200e-04,5.48800E-02
-9.88160e-04,5.48800E-02
-9.88120e-04,5.49370E-02
-9.88080e-04,5.49726E-02
-9.88040e-04,5.49370E-02
-9.88000e-04,5.49370E-02
-9.87960e-04,5.49726E-02
-9.87920e-04,5.50368E-02
-9.87880e-04,5.50368E-02
-9.87840e-04,5.50011E-02
-9.87800e-04,5.49726E-02
-9.87760e-04,5.50011E-02
-9.87720e-04,5.50368E-02
-9.87680e-04,5.50368E-02
-9.87640e-04,5.50653E-02
-9.87600e-04,5.50653E-02
-9.87560e-04,5.50653E-02
-9.87520e-04,5.51580E-02
-9.87480e-04,5.52221E-02
-9.87440e-04,5.52221E-02
-9.87400e-04,5.53148E-02
-9.87360e-04,5.53433E-02
-9.87320e-04,5.53148E-02
-9.87280e-04,5.52863E-02
-9.87240e-04,5.53148E-02
-9.87200e-04,5.54074E-02
-9.87160e-04,5.53433E-02
-9.87120e-04,5.53433E-02
-9.87080e-04,5.53789E-02
-9.87040e-04,5.53433E-02
-9.87000e-04,5.53148E-02
-9.86960e-04,5.53433E-02
-9.86920e-04,5.53148E-02
-9.86880e-04,5.53433E-02
-9.86840e-04,5.54074E-02
-9.86800e-04,5.54716E-02
-9.86760e-04,5.55642E-02
-9.86720e-04,5.55999E-02
-9.86680e-04,5.55999E-02
-9.86640e-04,5.56569E-02
-9.86600e-04,5.57211E-02
-9.86560e-04,5.57852E-02
-9.86520e-04,5.58137E-02
-9.86480e-04,5.58494E-02
-9.86440e-04,5.58494E-02
-9.86400e-04,5.58494E-02
-9.86360e-04,5.59064E-02
-9.86320e-04,5.59064E-02
-9.86280e-04,5.59420E-02
-9.86240e-04,5.60062E-02
-9.86200e-04,5.60347E-02
-9.86160e-04,5.60632E-02
-9.86120e-04,5.60988E-02
-9.86080e-04,5.61915E-02
-9.86040e-04,5.61915E-02
-9.86000e-04,5.62200E-02
-9.85960e-04,5.63483E-02
-9.85920e-04,5.63483E-02
-9.85880e-04,5.64125E-02
-9.85840e-04,5.65336E-02
-9.85800e-04,5.66619E-02
-9.85760e-04,5.67190E-02
-9.85720e-04,5.67546E-02
-9.85680e-04,5.67546E-02
-9.85640e-04,5.67831E-02
-9.85600e-04,5.69114E-02
-9.85560e-04,5.69684E-02
-9.85520e-04,5.70326E-02
-9.85480e-04,5.70967E-02
-9.85440e-04,5.71609E-02
-9.85400e-04,5.71609E-02
-9.85360e-04,5.71609E-02
-9.85320e-04,5.70967E-02
-9.85280e-04,5.71609E-02
