TIME ms, IN1, IN2, MATH
1, -3.301591, -3.14727, -0.051058
0.998, -3.291482, -3.138605, -0.049614
0.996, -3.256821, -3.105389, -0.04817
0.994, -3.214939, -3.067839, -0.043838
0.992, -3.178834, -3.034623, -0.040949
0.99, -3.135508, -2.994185, -0.038061
0.988, -3.108068, -2.969633, -0.035172
0.986, -3.069075, -2.93064, -0.035172
0.984, -3.037302, -2.904644, -0.029395
0.982, -2.996865, -2.865651, -0.027951
0.98, -2.957871, -2.83099, -0.023619
0.979, -2.930431, -2.806438, -0.02073
0.977, -2.891438, -2.767445, -0.02073
0.975, -2.856777, -2.735672, -0.017842
0.973, -2.816339, -2.696679, -0.016397
0.971, -2.780234, -2.662018, -0.014953
0.969, -2.739797, -2.625913, -0.010621
0.967, -2.713801, -2.601362, -0.009176
0.965, -2.671919, -2.560924, -0.007732
0.963, -2.637258, -2.527708, -0.006288
0.961, -2.601153, -2.494491, -0.0034
0.959, -2.560716, -2.456942, -0.000511
0.957, -2.536164, -2.43239, -0.000511
0.955, -2.49717, -2.394841, 0.000933
0.953, -2.46251, -2.363068, 0.003821
0.951, -2.423516, -2.324075, 0.003821
0.949, -2.385967, -2.293747, 0.011042
0.947, -2.358527, -2.263418, 0.008154
0.945, -2.322422, -2.231646, 0.012487
0.943, -2.284873, -2.192652, 0.011042
0.941, -2.247324, -2.159436, 0.015375
0.939, -2.21844, -2.131996, 0.016819
0.938, -2.179446, -2.093003, 0.016819
0.936, -2.154895, -2.069895, 0.018263
0.934, -2.117345, -2.030902, 0.016819
0.932, -2.082685, -2.002018, 0.022596
0.93, -2.043691, -1.965913, 0.025484
0.928, -2.010474, -1.931252, 0.02404
0.926, -1.983035, -1.905256, 0.025484
0.924, -1.94693, -1.87204, 0.028373
0.922, -1.912269, -1.838823, 0.029817
0.92, -1.874719, -1.801274, 0.029817
0.918, -1.844391, -1.77239, 0.031261
0.916, -1.806842, -1.736285, 0.032705
0.914, -1.785179, -1.716066, 0.03415
0.912, -1.74763, -1.679961, 0.035594
0.91, -1.711525, -1.646744, 0.038482
0.908, -1.676864, -1.610639, 0.037038
0.906, -1.642203, -1.575978, 0.037038
0.904, -1.616207, -1.551427, 0.038482
0.902, -1.580102, -1.519654, 0.042815
0.9, -1.54833, -1.486438, 0.041371
0.898, -1.506448, -1.448888, 0.045703
0.896, -1.479008, -1.420004, 0.044259
0.895, -1.454456, -1.396897, 0.045703
0.893, -1.42124, -1.36368, 0.045703
0.891, -1.385135, -1.330464, 0.048592
0.889, -1.34903, -1.297247, 0.05148
0.887, -1.320146, -1.26403, 0.047147
0.885, -1.281152, -1.227925, 0.050036
0.883, -1.258045, -1.206262, 0.05148
0.881, -1.220496, -1.170157, 0.052924
0.879, -1.190167, -1.139829, 0.052924
0.877, -1.154062, -1.10228, 0.05148
0.875, -1.119402, -1.073396, 0.057257
0.873, -1.09485, -1.0474, 0.055813
0.871, -1.060189, -1.015628, 0.058701
0.869, -1.026973, -0.980967, 0.057257
0.867, -0.990868, -0.94775, 0.060145
0.865, -0.960539, -0.917422, 0.060145
0.863, -0.925878, -0.881317, 0.058701
0.861, -0.902771, -0.861098, 0.061589
0.859, -0.865222, -0.824993, 0.063034
0.857, -0.834894, -0.794665, 0.063034
0.855, -0.800233, -0.75856, 0.061589
0.854, -0.767016, -0.726787, 0.063034
0.852, -0.741021, -0.70368, 0.065922
0.85, -0.710692, -0.674796, 0.067366
0.848, -0.681808, -0.643023, 0.064478
0.846, -0.642815, -0.606918, 0.067366
0.844, -0.615375, -0.579479, 0.067366
0.842, -0.585047, -0.550594, 0.06881
0.84, -0.554718, -0.523155, 0.071699
0.838, -0.520058, -0.48705, 0.070255
0.836, -0.488285, -0.455277, 0.070255
0.834, -0.455068, -0.420616, 0.06881
0.832, -0.418963, -0.388844, 0.073143
0.83, -0.398745, -0.367181, 0.071699
0.828, -0.365528, -0.335408, 0.073143
0.826, -0.333755, -0.30508, 0.074587
0.824, -0.299095, -0.268975, 0.073143
0.822, -0.267322, -0.240091, 0.076031
0.82, -0.241326, -0.212651, 0.074587
0.818, -0.20811, -0.183767, 0.07892
0.816, -0.183558, -0.154883, 0.074587
0.814, -0.143121, -0.118778, 0.07892
0.813, -0.120014, -0.089894, 0.073143
0.811, -0.082464, -0.052345, 0.073143
0.809, -0.059357, -0.032126, 0.076031
0.807, -0.034806, -0.00613, 0.074587
0.805, -0.005922, 0.02131, 0.076031
0.803, 0.027295, 0.053082, 0.077476
0.801, 0.060512, 0.087743, 0.076031
0.799, 0.082175, 0.107962, 0.077476
0.797, 0.116836, 0.13829, 0.081808
0.795, 0.14572, 0.170063, 0.07892
0.793, 0.178936, 0.201835, 0.080364
0.791, 0.204932, 0.230719, 0.077476
0.789, 0.233816, 0.256715, 0.080364
0.787, 0.264144, 0.285599, 0.081808
0.785, 0.295917, 0.318815, 0.080364
0.783, 0.324801, 0.346255, 0.081808
0.781, 0.355129, 0.379472, 0.07892
0.779, 0.388346, 0.408356, 0.083252
0.777, 0.410009, 0.431463, 0.081808
0.775, 0.446114, 0.46468, 0.084697
0.773, 0.474998, 0.49212, 0.086141
0.771, 0.512547, 0.523892, 0.091918
0.77, 0.542875, 0.545555, 0.100583
0.768, 0.570315, 0.565774, 0.107804
0.766, 0.602088, 0.580216, 0.125134
0.764, 0.635304, 0.59177, 0.146797
0.762, 0.665633, 0.601879, 0.167016
0.76, 0.695961, 0.606212, 0.193012
0.758, 0.729178, 0.611988, 0.220452
0.756, 0.750841, 0.616321, 0.237782
0.754, 0.786946, 0.619209, 0.270999
0.752, 0.81583, 0.623542, 0.29555
0.75, 0.850491, 0.623542, 0.330211
0.748, 0.880819, 0.626431, 0.357651
0.746, 0.906814, 0.629319, 0.380758
0.744, 0.937143, 0.630763, 0.409642
0.742, 0.970359, 0.630763, 0.442859
0.74, 0.999243, 0.630763, 0.471743
0.738, 1.031016, 0.629319, 0.50496
0.736, 1.058456, 0.630763, 0.530955
0.734, 1.085896, 0.630763, 0.558395
0.732, 1.119112, 0.629319, 0.593056
0.73, 1.150885, 0.632207, 0.62194
0.729, 1.181213, 0.632207, 0.652268
0.727, 1.214429, 0.630763, 0.686929
0.725, 1.236093, 0.630763, 0.708592
0.723, 1.269309, 0.632207, 0.740365
0.721, 1.296749, 0.630763, 0.769248
0.719, 1.329966, 0.629319, 0.803909
0.717, 1.357406, 0.627875, 0.832793
0.715, 1.381957, 0.627875, 0.857345
0.713, 1.409397, 0.627875, 0.884785
0.711, 1.444058, 0.627875, 0.919446
0.709, 1.474386, 0.629319, 0.94833
0.707, 1.507603, 0.627875, 0.982991
0.705, 1.540819, 0.630763, 1.013319
0.703, 1.565371, 0.626431, 1.042203
0.701, 1.601476, 0.629319, 1.07542
0.699, 1.627471, 0.627875, 1.102859
0.697, 1.662132, 0.629319, 1.136076
0.695, 1.688128, 0.623542, 1.167848
0.693, 1.714123, 0.624986, 1.1924
0.691, 1.740119, 0.622098, 1.221284
0.689, 1.77478, 0.624986, 1.253056
0.688, 1.806552, 0.623542, 1.286273
0.686, 1.833992, 0.623542, 1.313713
0.684, 1.859988, 0.623542, 1.339709
0.682, 1.890316, 0.622098, 1.371481
0.68, 1.926421, 0.620654, 1.40903
0.678, 1.955305, 0.622098, 1.43647
0.676, 1.987078, 0.622098, 1.468243
0.674, 2.014518, 0.620654, 1.497126
0.672, 2.040513, 0.619209, 1.524567
0.67, 2.067953, 0.619209, 1.552006
0.668, 2.098281, 0.619209, 1.582335
0.666, 2.132942, 0.617765, 1.61844
0.664, 2.158938, 0.619209, 1.642991
0.662, 2.186378, 0.616321, 1.673319
0.66, 2.213818, 0.617765, 1.699315
0.658, 2.248478, 0.617765, 1.733976
0.656, 2.275918, 0.617765, 1.761416
0.654, 2.312023, 0.616321, 1.798965
0.652, 2.342351, 0.616321, 1.829293
0.65, 2.362571, 0.616321, 1.849512
0.648, 2.397231, 0.614877, 1.885617
0.646, 2.426115, 0.616321, 1.913057
0.645, 2.46222, 0.614877, 1.950606
0.643, 2.486772, 0.614877, 1.975158
0.641, 2.514212, 0.614877, 2.002597
0.639, 2.541651, 0.614877, 2.030037
0.637, 2.576313, 0.614877, 2.064698
0.635, 2.606641, 0.613433, 2.09647
0.633, 2.636969, 0.613433, 2.126799
0.631, 2.660076, 0.613433, 2.149906
0.629, 2.686072, 0.610544, 2.17879
0.627, 2.717844, 0.610544, 2.210563
0.625, 2.74384, 0.607656, 2.239447
0.623, 2.777056, 0.6091, 2.271219
0.621, 2.805941, 0.610544, 2.298659
0.619, 2.830492, 0.6091, 2.324655
0.617, 2.859376, 0.6091, 2.353539
0.615, 2.892593, 0.606212, 2.389643
0.613, 2.921477, 0.607656, 2.417084
0.611, 2.951805, 0.6091, 2.445967
0.609, 2.979245, 0.607656, 2.474852
0.607, 3.005241, 0.607656, 2.500847
0.605, 3.04279, 0.6091, 2.536952
0.604, 3.07023, 0.607656, 2.565836
0.602, 3.10489, 0.6091, 2.599053
0.6, 3.135219, 0.607656, 2.630826
0.598, 3.158326, 0.607656, 2.653933
0.596, 3.188654, 0.606212, 2.685705
0.594, 3.217538, 0.604767, 2.716034
0.592, 3.253643, 0.6091, 2.747806
0.59, 3.278195, 0.607656, 2.773802
0.588, 3.307079, 0.6091, 2.801241
0.586, 3.333075, 0.606212, 2.830125
0.584, 3.367735, 0.604767, 2.86623
0.582, 3.398063, 0.604767, 2.896559
0.58, 3.426948, 0.604767, 2.925443
0.578, 3.451499, 0.604767, 2.949994
0.576, 3.483271, 0.604767, 2.981766
0.574, 3.515044, 0.603323, 3.014983
0.572, 3.541039, 0.603323, 3.040979
0.57, 3.574256, 0.603323, 3.074196
0.568, 3.601696, 0.603323, 3.101635
