TIME ms, IN1, IN2, MATH
1, 0.029461, 0.065407, 0.028368
0.998, 0.043903, 0.079192, 0.031043
0.996, 0.065566, 0.100199, 0.033717
0.994, 0.087885, 0.123175, 0.031043
0.992, 0.108892, 0.142869, 0.036392
0.99, 0.126616, 0.162562, 0.028368
0.988, 0.13712, 0.171096, 0.036392
0.986, 0.156813, 0.192103, 0.031043
0.984, 0.17585, 0.21114, 0.031043
0.982, 0.195544, 0.230177, 0.033717
0.98, 0.212612, 0.247245, 0.033717
0.979, 0.226398, 0.260374, 0.036392
0.977, 0.244122, 0.280068, 0.028368
0.975, 0.266441, 0.300418, 0.036392
0.973, 0.286791, 0.321424, 0.033717
0.971, 0.304516, 0.337836, 0.039066
0.969, 0.324866, 0.358842, 0.036392
0.967, 0.339964, 0.374597, 0.033717
0.965, 0.361627, 0.395604, 0.036392
0.963, 0.382634, 0.41858, 0.028368
0.961, 0.404297, 0.438274, 0.036392
0.959, 0.423991, 0.458624, 0.033717
0.957, 0.438433, 0.473722, 0.031043
0.955, 0.461409, 0.497355, 0.028368
0.953, 0.483728, 0.518361, 0.033717
0.951, 0.504735, 0.540024, 0.031043
0.949, 0.524428, 0.561031, 0.025694
0.947, 0.543466, 0.578755, 0.031043
0.945, 0.565129, 0.598449, 0.039066
0.943, 0.586792, 0.620768, 0.036391
0.941, 0.605829, 0.641118, 0.031043
0.939, 0.626179, 0.662781, 0.025694
0.938, 0.643903, 0.680506, 0.025694
0.936, 0.664253, 0.697574, 0.039066
0.934, 0.68526, 0.720549, 0.031043
0.932, 0.706267, 0.7409, 0.033717
0.93, 0.722678, 0.75928, 0.025694
0.928, 0.743028, 0.778318, 0.031043
0.926, 0.75944, 0.795385, 0.028368
0.924, 0.780446, 0.815736, 0.031043
0.922, 0.799483, 0.834116, 0.033717
0.92, 0.819177, 0.85381, 0.033717
0.918, 0.836901, 0.871534, 0.033717
0.916, 0.855938, 0.891228, 0.031043
0.914, 0.876289, 0.910922, 0.033717
0.912, 0.894013, 0.929959, 0.028368
0.91, 0.912394, 0.947683, 0.031043
0.908, 0.932744, 0.96869, 0.028368
0.906, 0.951781, 0.985758, 0.036392
0.904, 0.970818, 1.004138, 0.039066
0.902, 0.991168, 1.024488, 0.039066
0.9, 1.012175, 1.044839, 0.041741
0.898, 1.031869, 1.065189, 0.039067
0.896, 1.050906, 1.08357, 0.04174
0.895, 1.067974, 1.101294, 0.039066
0.893, 1.09095, 1.12427, 0.039066
0.891, 1.108017, 1.141994, 0.036392
0.889, 1.127711, 1.162344, 0.033717
0.887, 1.148061, 1.182694, 0.033717
0.885, 1.170381, 1.204357, 0.036391
0.883, 1.186792, 1.222082, 0.031043
0.881, 1.205829, 1.240462, 0.033718
0.879, 1.227492, 1.261469, 0.036392
0.877, 1.245217, 1.280506, 0.031042
0.875, 1.265567, 1.3002, 0.033717
0.873, 1.284604, 1.319237, 0.033718
0.871, 1.304298, 1.340244, 0.028369
0.869, 1.323335, 1.359937, 0.025694
0.867, 1.343029, 1.378318, 0.031043
0.865, 1.364035, 1.400638, 0.025694
0.863, 1.384385, 1.420988, 0.025694
0.861, 1.398827, 1.43543, 0.025694
0.859, 1.417864, 1.455123, 0.023019
0.857, 1.436902, 1.475474, 0.01767
0.855, 1.459221, 1.495824, 0.025694
0.854, 1.479571, 1.517487, 0.020345
0.852, 1.495983, 1.533898, 0.020345
0.85, 1.513051, 1.552935, 0.012322
0.848, 1.533401, 1.570003, 0.025694
0.846, 1.55572, 1.592323, 0.025694
0.844, 1.57607, 1.612673, 0.025694
0.842, 1.591825, 1.627771, 0.028369
0.84, 1.611519, 1.647465, 0.028368
0.838, 1.633838, 1.669784, 0.028368
0.836, 1.655501, 1.69276, 0.02302
0.834, 1.677164, 1.713767, 0.025694
0.832, 1.70014, 1.734117, 0.036391
0.83, 1.713926, 1.748559, 0.033718
0.828, 1.735589, 1.770222, 0.033718
0.826, 1.757252, 1.791229, 0.036392
0.824, 1.777602, 1.810922, 0.039067
0.822, 1.800578, 1.834555, 0.036392
0.82, 1.814364, 1.848997, 0.033717
0.818, 1.834057, 1.87066, 0.025694
0.816, 1.852438, 1.888384, 0.028369
0.814, 1.875414, 1.912017, 0.025694
0.813, 1.89839, 1.934336, 0.028369
0.811, 1.91874, 1.955343, 0.025694
0.809, 1.9299, 1.965189, 0.031043
0.807, 1.952876, 1.988165, 0.031043
0.805, 1.973226, 2.010485, 0.023019
0.803, 1.993576, 2.030835, 0.02302
0.801, 2.015239, 2.050529, 0.031044
0.799, 2.027055, 2.063001, 0.028369
0.797, 2.046749, 2.082695, 0.028369
0.795, 2.067756, 2.104358, 0.025695
0.793, 2.088106, 2.124708, 0.025695
0.791, 2.109769, 2.145058, 0.031043
0.789, 2.122898, 2.158844, 0.028369
0.787, 2.145874, 2.180507, 0.033718
0.785, 2.163598, 2.199544, 0.028369
0.783, 2.185261, 2.219894, 0.033718
0.781, 2.207581, 2.241557, 0.03639
0.779, 2.228587, 2.262564, 0.036391
0.777, 2.24106, 2.27438, 0.039066
0.775, 2.264036, 2.297356, 0.039067
0.773, 2.287012, 2.320332, 0.039067
0.771, 2.306049, 2.338056, 0.044415
0.77, 2.325086, 2.35775, 0.04174
0.768, 2.339528, 2.371536, 0.044415
0.766, 2.361191, 2.392542, 0.047089
0.764, 2.381541, 2.412892, 0.04709
0.762, 2.403204, 2.435212, 0.044414
0.76, 2.424211, 2.456875, 0.04174
0.758, 2.444561, 2.473286, 0.057787
0.756, 2.45769, 2.488384, 0.049764
0.754, 2.479353, 2.509391, 0.052439
0.752, 2.502986, 2.528428, 0.07116
0.75, 2.523992, 2.549435, 0.07116
0.748, 2.54106, 2.567159, 0.068485
0.746, 2.556815, 2.582258, 0.071159
0.744, 2.578478, 2.602608, 0.076508
0.742, 2.600797, 2.621645, 0.089881
0.74, 2.617209, 2.639369, 0.084532
0.738, 2.634933, 2.653811, 0.097904
0.736, 2.649375, 2.669566, 0.092555
0.734, 2.670382, 2.686634, 0.108602
0.732, 2.688763, 2.707641, 0.097904
0.73, 2.708456, 2.723396, 0.113951
0.729, 2.729463, 2.742433, 0.121973
0.727, 2.749156, 2.757531, 0.140695
0.725, 2.764255, 2.773943, 0.135347
0.723, 2.785262, 2.793636, 0.140696
0.721, 2.805612, 2.810704, 0.154068
0.719, 2.823336, 2.827116, 0.159416
0.717, 2.84303, 2.844183, 0.170114
0.715, 2.862723, 2.857312, 0.196859
0.713, 2.885043, 2.877663, 0.204882
0.711, 2.902111, 2.892105, 0.215579
0.709, 2.921804, 2.910486, 0.220928
0.707, 2.941498, 2.923615, 0.247673
0.705, 2.960535, 2.940026, 0.258371
0.703, 2.97826, 2.955781, 0.266394
0.701, 2.999266, 2.969567, 0.295814
0.699, 3.01699, 2.985978, 0.301162
0.697, 3.037341, 3.001733, 0.319884
0.695, 3.057691, 3.014862, 0.349302
0.693, 3.077384, 3.029304, 0.370698
0.691, 3.094452, 3.045715, 0.373372
0.689, 3.114146, 3.058845, 0.400116
0.688, 3.134496, 3.070661, 0.434884
0.686, 3.150251, 3.084446, 0.442908
0.684, 3.169288, 3.098232, 0.464304
0.682, 3.190295, 3.112017, 0.493723
0.68, 3.209332, 3.12449, 0.520467
0.678, 3.2264, 3.136963, 0.539188
0.676, 3.243468, 3.149436, 0.557908
0.674, 3.262505, 3.161252, 0.587328
0.672, 3.280886, 3.171098, 0.622096
0.67, 3.296641, 3.182914, 0.638143
0.668, 3.316334, 3.194074, 0.67291
0.666, 3.335371, 3.205234, 0.705004
0.664, 3.353752, 3.216394, 0.734422
0.662, 3.37082, 3.222958, 0.777214
0.66, 3.385919, 3.236088, 0.785237
0.658, 3.406269, 3.243309, 0.838727
0.656, 3.422024, 3.253155, 0.862796
0.654, 3.44303, 3.263659, 0.905588
0.652, 3.461411, 3.274162, 0.93768
0.65, 3.475853, 3.282696, 0.961752
0.648, 3.495547, 3.29123, 1.007217
0.646, 3.509989, 3.299107, 1.033961
0.645, 3.530339, 3.30961, 1.074078
0.643, 3.548063, 3.319458, 1.106171
0.641, 3.563818, 3.324709, 1.148962
0.639, 3.580886, 3.333243, 1.183731
0.637, 3.599923, 3.34309, 1.221172
0.635, 3.620273, 3.350967, 1.271987
0.633, 3.638654, 3.357532, 1.320127
0.631, 3.653096, 3.365409, 1.346871
0.629, 3.669508, 3.371974, 1.386989
0.627, 3.689857, 3.377882, 1.445827
0.625, 3.708895, 3.388385, 1.480594
0.623, 3.729245, 3.395606, 1.534083
0.621, 3.749595, 3.402171, 1.590246
0.619, 3.761411, 3.408736, 1.611641
0.617, 3.781105, 3.414643, 1.667805
0.615, 3.798173, 3.422521, 1.705248
0.613, 3.817866, 3.427773, 1.764086
0.611, 3.834278, 3.434994, 1.801528
0.609, 3.847407, 3.438932, 1.83897
0.607, 3.863818, 3.446153, 1.876413
0.605, 3.884168, 3.452718, 1.932576
0.604, 3.903862, 3.457969, 1.991414
0.602, 3.922243, 3.465847, 2.034205
0.6, 3.939311, 3.471099, 2.082345
0.598, 3.95047, 3.475038, 2.111764
0.596, 3.969508, 3.478976, 2.173277
0.594, 3.988545, 3.484884, 2.226766
0.592, 4.006926, 3.489479, 2.282929
0.59, 4.027932, 3.495388, 2.344441
0.588, 4.038435, 3.499983, 2.368512
0.586, 4.056816, 3.504578, 2.424674
0.584, 4.075197, 3.511799, 2.470139
0.582, 4.093578, 3.515081, 2.531653
0.58, 4.111302, 3.522959, 2.571769
0.578, 4.123118, 3.524271, 2.614561
0.576, 4.141499, 3.528867, 2.670724
0.574, 4.160536, 3.535431, 2.721538
0.572, 4.181543, 3.537401, 2.799097
0.57, 4.199267, 3.543965, 2.844563
0.568, 4.217648, 3.547247, 2.906074
0.566, 4.226838, 3.549217, 2.935495
0.564, 4.248501, 3.557094, 2.991658
0.563, 4.265569, 3.560377, 3.047822
0.561, 4.285263, 3.564972, 3.109334
0.559, 4.30233, 3.569567, 3.160148
0.557, 4.31349, 3.57088, 3.200265
0.555, 4.333184, 3.574819, 3.264453
0.553, 4.351565, 3.580727, 3.315267
0.551, 4.369289, 3.58204, 3.382127
0.549, 4.3857, 3.587948, 3.424918
0.547, 4.402112, 3.590574, 3.481082
0.545, 4.414585, 3.59123, 3.529223
0.543, 4.434278, 3.594512, 3.596083
0.541, 4.455285, 3.601077, 3.654921
0.539, 4.470383, 3.603046, 3.708409
0.537, 4.488108, 3.606985, 3.764574
0.535, 4.501236, 3.610924, 3.802015
0.533, 4.520274, 3.615519, 3.860853
0.531, 4.537998, 3.616832, 3.927716
0.529, 4.556379, 3.620114, 3.989226
0.527, 4.57279, 3.624709, 4.037366
0.525, 4.587889, 3.626678, 4.090857
0.523, 4.605613, 3.628648, 4.155044
0.521, 4.62465, 3.633899, 4.211205
0.52, 4.639749, 3.636525, 4.262022
0.518, 4.657473, 3.638495, 4.326208
0.516, 4.672572, 3.640464, 4.379697
0.514, 4.689639, 3.644403, 4.433185
0.512, 4.706707, 3.648341, 4.486676
0.51, 4.725088, 3.649654, 4.55621
0.508, 4.740843, 3.652937, 4.607025
0.506, 4.75988, 3.658845, 4.660514
0.504, 4.774323, 3.660158, 4.714004
