[s],CH1[V]
-9.99960e-04,7.83297E-01
-9.99920e-04,7.83297E-01
-9.99880e-04,7.83328E-01
-9.99840e-04,7.83391E-01
-9.99800e-04,7.83297E-01
-9.99760e-04,7.83266E-01
-9.99720e-04,7.83328E-01
-9.99680e-04,7.83453E-01
-9.99640e-04,7.83484E-01
-9.99600e-04,7.83547E-01
-9.99560e-04,7.83484E-01
-9.99520e-04,7.83484E-01
-9.99480e-04,7.83547E-01
-9.99440e-04,7.83609E-01
-9.99400e-04,7.83703E-01
-9.99360e-04,7.83703E-01
-9.99320e-04,7.83734E-01
-9.99280e-04,7.83859E-01
-9.99240e-04,7.83859E-01
-9.99200e-04,7.83922E-01
-9.99160e-04,7.83891E-01
-9.99120e-04,7.83859E-01
-9.99080e-04,7.83953E-01
-9.99040e-04,7.83953E-01
-9.99000e-04,7.84016E-01
-9.98960e-04,7.84016E-01
-9.98920e-04,7.84047E-01
-9.98880e-04,7.84078E-01
-9.98840e-04,7.84141E-01
-9.98800e-04,7.84172E-01
-9.98760e-04,7.84203E-01
-9.98720e-04,7.84234E-01
-9.98680e-04,7.84234E-01
-9.98640e-04,7.84297E-01
-9.98600e-04,7.84359E-01
-9.98560e-04,7.84359E-01
-9.98520e-04,7.84422E-01
-9.98480e-04,7.84484E-01
-9.98440e-04,7.84547E-01
-9.98400e-04,7.84641E-01
-9.98360e-04,7.84703E-01
-9.98320e-04,7.84672E-01
-9.98280e-04,7.84734E-01
-9.98240e-04,7.84766E-01
-9.98200e-04,7.84859E-01
-9.98160e-04,7.84859E-01
-9.98120e-04,7.84828E-01
-9.98080e-04,7.84891E-01
-9.98040e-04,7.84891E-01
-9.98000e-04,7.85016E-01
-9.97960e-04,7.85016E-01
-9.97920e-04,7.85016E-01
-9.97880e-04,7.85078E-01
-9.97840e-04,7.85141E-01
-9.97800e-04,7.85172E-01
-9.97760e-04,7.85234E-01
-9.97720e-04,7.85297E-01
-9.97680e-04,7.85297E-01
-9.97640e-04,7.85328E-01
-9.97600e-04,7.85359E-01
-9.97560e-04,7.85391E-01
-9.97520e-04,7.85453E-01
-9.97480e-04,7.85516E-01
-9.97440e-04,7.85547E-01
-9.97400e-04,7.85578E-01
-9.97360e-04,7.85609E-01
-9.97320e-04,7.85672E-01
-9.97280e-04,7.85734E-01
-9.97240e-04,7.85797E-01
-9.97200e-04,7.85828E-01
-9.97160e-04,7.85891E-01
-9.97120e-04,7.85922E-01
-9.97080e-04,7.85891E-01
-9.97040e-04,7.85953E-01
-9.97000e-04,7.85984E-01
-9.96960e-04,7.86047E-01
-9.96920e-04,7.86172E-01
-9.96880e-04,7.86266E-01
-9.96840e-04,7.86328E-01
-9.96800e-04,7.86391E-01
-9.96760e-04,7.86484E-01
-9.96720e-04,7.86516E-01
-9.96680e-04,7.86641E-01
-9.96640e-04,7.86703E-01
-9.96600e-04,7.86859E-01
-9.96560e-04,7.87016E-01
-9.96520e-04,7.87109E-01
-9.96480e-04,7.87172E-01
-9.96440e-04,7.87266E-01
-9.96400e-04,7.87297E-01
-9.96360e-04,7.87422E-01
-9.96320e-04,7.87422E-01
-9.96280e-04,7.87453E-01
-9.96240e-04,7.87516E-01
-9.96200e-04,7.87578E-01
-9.96160e-04,7.87672E-01
-9.96120e-04,7.87828E-01
-9.96080e-04,7.87891E-01
-9.96040e-04,7.87984E-01
-9.96000e-04,7.88078E-01
-9.95960e-04,7.88141E-01
-9.95920e-04,7.88266E-01
-9.95880e-04,7.88328E-01
-9.95840e-04,7.88484E-01
-9.95800e-04,7.88453E-01
-9.95760e-04,7.88578E-01
-9.95720e-04,7.88609E-01
-9.95680e-04,7.88641E-01
-9.95640e-04,7.88703E-01
-9.95600e-04,7.88766E-01
-9.95560e-04,7.88859E-01
-9.95520e-04,7.88859E-01
-9.95480e-04,7.88922E-01
-9.95440e-04,7.89047E-01
-9.95400e-04,7.89141E-01
-9.95360e-04,7.89172E-01
-9.95320e-04,7.89203E-01
-9.95280e-04,7.89297E-01
-9.95240e-04,7.89391E-01
-9.95200e-04,7.89484E-01
-9.95160e-04,7.89578E-01
-9.95120e-04,7.89734E-01
-9.95080e-04,7.89828E-01
-9.95040e-04,7.89922E-01
-9.95000e-04,7.89953E-01
-9.94960e-04,7.90016E-01
-9.94920e-04,7.90078E-01
-9.94880e-04,7.90078E-01
-9.94840e-04,7.90172E-01
-9.94800e-04,7.90266E-01
-9.94760e-04,7.90359E-01
-9.94720e-04,7.90484E-01
-9.94680e-04,7.90516E-01
-9.94640e-04,7.90641E-01
-9.94600e-04,7.90703E-01
-9.94560e-04,7.90828E-01
-9.94520e-04,7.90891E-01
-9.94480e-04,7.90922E-01
-9.94440e-04,7.90953E-01
-9.94400e-04,7.91078E-01
-9.94360e-04,7.91203E-01
-9.94320e-04,7.91328E-01
-9.94280e-04,7.91422E-01
-9.94240e-04,7.91484E-01
-9.94200e-04,7.91547E-01
-9.94160e-04,7.91641E-01
-9.94120e-04,7.91766E-01
-9.94080e-04,7.91859E-01
-9.94040e-04,7.91891E-01
-9.94000e-04,7.91953E-01
-9.93960e-04,7.92047E-01
-9.93920e-04,7.92141E-01
-9.93880e-04,7.92172E-01
-9.93840e-04,7.92297E-01
-9.93800e-04,7.92422E-01
-9.93760e-04,7.92797E-01
-9.93720e-04,7.94266E-01
-9.93680e-04,7.94266E-01
-9.93640e-04,7.93266E-01
-9.93600e-04,7.93828E-01
-9.93560e-04,7.94078E-01
-9.93520e-04,7.93984E-01
-9.93480e-04,7.93984E-01
-9.93440e-04,7.94297E-01
-9.93400e-04,7.94422E-01
-9.93360e-04,7.94391E-01
-9.93320e-04,7.94609E-01
-9.93280e-04,7.94703E-01
-9.93240e-04,7.94703E-01
-9.93200e-04,7.94766E-01
-9.93160e-04,7.94922E-01
-9.93120e-04,7.95078E-01
-9.93080e-04,7.95203E-01
-9.93040e-04,7.95234E-01
-9.93000e-04,7.95297E-01
-9.92960e-04,7.95422E-01
-9.92920e-04,7.95516E-01
-9.92880e-04,7.95578E-01
-9.92840e-04,7.95672E-01
-9.92800e-04,7.95766E-01
-9.92760e-04,7.95891E-01
-9.92720e-04,7.95984E-01
-9.92680e-04,7.96047E-01
-9.92640e-04,7.96172E-01
-9.92600e-04,7.96266E-01
-9.92560e-04,7.96328E-01
