#time	V(in1/out1)	V(in2)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.906249976259879e-11	7.812500e-08	3.736724e-08	4.075776e-09
1.562499990503952e-10	3.125000e-07	2.373174e-07	7.518262e-09
7.341294640633717e-06	1.468259e-02	1.468251e-02	8.124059e-09
1.468243303126838e-05	2.936487e-02	2.936477e-02	9.610159e-09
2.202357142190305e-05	4.404714e-02	4.404702e-02	1.197656e-08
2.936470981253772e-05	5.872942e-02	5.872927e-02	1.522327e-08
3.670584820317239e-05	7.341170e-02	7.341150e-02	1.935027e-08
4.404698659380705e-05	8.809397e-02	8.809373e-02	2.435758e-08
5.138812498444170e-05	1.027763e-01	1.027759e-01	3.024519e-08
5.585241069872742e-05	1.117048e-01	1.117045e-01	3.471530e-08
6.031669641301314e-05	1.206334e-01	1.206330e-01	4.116138e-08
6.478098212729887e-05	1.295620e-01	1.295615e-01	4.958345e-08
6.924526784158458e-05	1.384905e-01	1.384899e-01	5.998149e-08
7.370955355587030e-05	1.474191e-01	1.474184e-01	7.235552e-08
7.817383927015602e-05	1.563477e-01	1.563468e-01	8.670552e-08
8.263812498444173e-05	1.652762e-01	1.652752e-01	1.030315e-07
8.849749998444174e-05	1.769950e-01	1.769937e-01	1.316920e-07
9.435687498444174e-05	1.887137e-01	1.887121e-01	1.687967e-07
1.002162499844417e-04	2.004325e-01	2.004303e-01	2.168373e-07
1.041224999844418e-04	2.082450e-01	2.082424e-01	2.564967e-07
1.080287499844418e-04	2.160575e-01	2.160545e-01	3.036113e-07
1.119349999844418e-04	2.238700e-01	2.238664e-01	3.595833e-07
1.158412499844418e-04	2.316825e-01	2.316782e-01	4.260788e-07
1.197474999844418e-04	2.394950e-01	2.394899e-01	5.050769e-07
1.236537499844418e-04	2.473075e-01	2.473015e-01	5.989289e-07
1.275599999844418e-04	2.551200e-01	2.551129e-01	7.104280e-07
1.314662499844418e-04	2.629325e-01	2.629241e-01	8.428922e-07
1.334193749844418e-04	2.668388e-01	2.668296e-01	9.181906e-07
1.353724999844418e-04	2.707450e-01	2.707350e-01	1.000263e-06
1.373256249844418e-04	2.746513e-01	2.746404e-01	1.089719e-06
1.392787499844418e-04	2.785575e-01	2.785456e-01	1.187223e-06
1.412318749844418e-04	2.824638e-01	2.824508e-01	1.293497e-06
1.431849999844418e-04	2.863700e-01	2.863559e-01	1.409332e-06
1.451381249844418e-04	2.902763e-01	2.902609e-01	1.535585e-06
1.470912499844418e-04	2.941825e-01	2.941658e-01	1.673195e-06
1.490443749844418e-04	2.980888e-01	2.980705e-01	1.823181e-06
1.509974999844418e-04	3.019950e-01	3.019751e-01	1.986657e-06
1.529506249844418e-04	3.059013e-01	3.058796e-01	2.164833e-06
1.549037499844418e-04	3.098075e-01	3.097839e-01	2.359031e-06
1.568568749844418e-04	3.137138e-01	3.136880e-01	2.570690e-06
1.588099999844418e-04	3.176200e-01	3.175920e-01	2.801378e-06
1.607631249844418e-04	3.215263e-01	3.214957e-01	3.052804e-06
1.627162499844418e-04	3.254325e-01	3.253992e-01	3.326830e-06
1.646693749844418e-04	3.293388e-01	3.293025e-01	3.625483e-06
1.666224999844418e-04	3.332450e-01	3.332055e-01	3.950973e-06
1.685756249844418e-04	3.371513e-01	3.371082e-01	4.305707e-06
1.705287499844418e-04	3.410575e-01	3.410106e-01	4.692308e-06
1.724818749844418e-04	3.449638e-01	3.449126e-01	5.113630e-06
1.744349999844418e-04	3.488700e-01	3.488143e-01	5.572787e-06
1.763881249844418e-04	3.527763e-01	3.527155e-01	6.073165e-06
1.783412499844418e-04	3.566825e-01	3.566163e-01	6.618455e-06
1.802943749844418e-04	3.605888e-01	3.605166e-01	7.212675e-06
1.822474999844418e-04	3.644950e-01	3.644164e-01	7.860199e-06
1.842006249844418e-04	3.684013e-01	3.683156e-01	8.565792e-06
1.861537499844418e-04	3.723075e-01	3.722141e-01	9.334639e-06
1.881068749844418e-04	3.762138e-01	3.761120e-01	1.017239e-05
1.900599999844418e-04	3.801200e-01	3.800091e-01	1.108518e-05
1.920131249844418e-04	3.840263e-01	3.839055e-01	1.207969e-05
1.939662499844418e-04	3.879325e-01	3.878009e-01	1.316322e-05
1.959193749844418e-04	3.918388e-01	3.916953e-01	1.434366e-05
1.978724999844418e-04	3.957450e-01	3.955887e-01	1.562962e-05
1.998256249844418e-04	3.996513e-01	3.994809e-01	1.703047e-05
2.017787499844418e-04	4.035575e-01	4.033719e-01	1.855639e-05
2.037318749844418e-04	4.074638e-01	4.072616e-01	2.021844e-05
2.056849999844418e-04	4.113700e-01	4.111497e-01	2.202865e-05
2.076381249844418e-04	4.152763e-01	4.150363e-01	2.400008e-05
2.095912499844418e-04	4.191825e-01	4.189210e-01	2.614691e-05
2.115443749844418e-04	4.230888e-01	4.228039e-01	2.848457e-05
2.134974999844418e-04	4.269950e-01	4.266847e-01	3.102977e-05
2.154506249844418e-04	4.309013e-01	4.305632e-01	3.380066e-05
2.174037499844418e-04	4.348075e-01	4.344393e-01	3.681693e-05
2.193568749844418e-04	4.387138e-01	4.383128e-01	4.009991e-05
