#time	V(in1)	V(in2)	I(R3)
0.000000000000000e+00	-6.059708e-04	-6.059707e-04	-6.635052e-15
6.817661111195601e-09	-6.065545e-04	-6.060208e-04	-5.336433e-10
1.363532222239120e-08	-6.068164e-04	-6.060522e-04	-7.641872e-10
2.045298333358680e-08	-6.067565e-04	-6.060648e-04	-6.916381e-10
2.727064444478241e-08	-6.063747e-04	-6.060587e-04	-3.159961e-10
3.408830555597801e-08	-6.056712e-04	-6.060339e-04	3.627387e-10
4.090596666717361e-08	-6.046458e-04	-6.059904e-04	1.344566e-09
4.772362777836920e-08	-6.032987e-04	-6.059282e-04	2.629487e-09
6.379510720598642e-08	-5.930928e-04	-6.035769e-04	1.048423e-08
9.424354277559392e-08	-5.530008e-04	-5.880287e-04	3.502801e-08
1.551404139148089e-07	-4.063802e-04	-5.120884e-04	1.057082e-07
2.207706253506143e-07	-1.449755e-04	-3.474482e-04	2.024727e-07
2.969802043429028e-07	3.042153e-04	-2.563314e-05	3.298484e-07
3.713150561007288e-07	9.020030e-04	4.500973e-04	4.519057e-07
4.953425381426588e-07	2.148060e-03	1.524586e-03	6.234737e-07
6.111122321363945e-07	3.474709e-03	2.742481e-03	7.322276e-07
7.136627746138383e-07	4.721375e-03	3.946980e-03	7.743951e-07
8.151204183189602e-07	5.940297e-03	5.171378e-03	7.689189e-07
9.241826052866218e-07	7.175989e-03	6.448539e-03	7.274502e-07
1.032896774877892e-06	8.300550e-03	7.632271e-03	6.682785e-07
1.163167331645738e-06	9.523664e-03	8.928252e-03	5.954116e-07
1.251108254923787e-06	1.028401e-02	9.728707e-03	5.552998e-07
1.349323325847045e-06	1.108721e-02	1.055999e-02	5.272183e-07
1.473402513442413e-06	1.208645e-02	1.157245e-02	5.140089e-07
1.594072998507735e-06	1.307634e-02	1.255567e-02	5.206721e-07
1.919760656999326e-06	1.594212e-02	1.536735e-02	5.747694e-07
2.085447921984496e-06	1.748600e-02	1.689193e-02	5.940642e-07
2.248108874948560e-06	1.901939e-02	1.842090e-02	5.984855e-07
2.655497872526224e-06	2.278699e-02	2.220850e-02	5.784805e-07
2.986999313798139e-06	2.577729e-02	2.520885e-02	5.684382e-07
3.992693628085872e-06	3.491725e-02	3.434348e-02	5.737684e-07
5.686954243162650e-06	5.033139e-02	4.976350e-02	5.678965e-07
7.381214858239427e-06	6.574478e-02	6.518231e-02	5.624696e-07
9.075475473316203e-06	8.115741e-02	8.059992e-02	5.574878e-07
1.076973608839298e-05	9.656927e-02	9.601632e-02	5.529511e-07
1.246399670346976e-05	1.119804e-01	1.114315e-01	5.488593e-07
1.415825731854654e-05	1.273907e-01	1.268455e-01	5.452127e-07
1.585251793362331e-05	1.428003e-01	1.422583e-01	5.420111e-07
2.617617864790904e-05	2.366806e-01	2.361571e-01	5.234512e-07
3.649983936219476e-05	3.305565e-01	3.300497e-01	5.067906e-07
4.682350007648049e-05	4.244281e-01	4.239360e-01	4.920293e-07
5.714716079076621e-05	5.182953e-01	5.178161e-01	4.791674e-07
6.747082150505195e-05	6.121582e-01	6.116900e-01	4.682048e-07
7.779448221933766e-05	7.060168e-01	7.055576e-01	4.591415e-07
8.811814293362336e-05	7.998710e-01	7.994190e-01	4.519775e-07
1.064984442729091e-04	9.669723e-01	9.665324e-01	4.399787e-07
1.248787456121948e-04	1.134073e+00	1.133644e+00	4.290821e-07
1.432590469514806e-04	1.301172e+00	1.300753e+00	4.192876e-07
1.616393482907663e-04	1.468270e+00	1.467860e+00	4.105953e-07
1.800196496300520e-04	1.635368e+00	1.634965e+00	4.030052e-07
1.983999509693378e-04	1.802464e+00	1.802068e+00	3.965172e-07
2.167802523086235e-04	1.969559e+00	1.969168e+00	3.911314e-07
2.187333773086235e-04	1.987309e+00	1.986734e+00	5.753880e-07
2.206865023086235e-04	2.004996e+00	2.002840e+00	2.156487e-06
2.217018081378827e-04	2.014142e+00	2.009267e+00	4.875458e-06
2.222302524640586e-04	2.018927e+00	2.011703e+00	7.223886e-06
2.228571406262157e-04	2.024628e+00	2.014207e+00	1.042073e-05
2.232535123975840e-04	2.028216e+00	2.015664e+00	1.255229e-05
2.238736789974625e-04	2.033854e+00	2.017772e+00	1.608223e-05
2.245978798819028e-04	2.040431e+00	2.020036e+00	2.039516e-05
2.257604922174172e-04	2.050998e+00	2.023310e+00	2.768765e-05
2.272341080824406e-04	2.064395e+00	2.027036e+00	3.735894e-05
2.291872330824406e-04	2.082154e+00	2.031525e+00	5.062924e-05
2.311403580824406e-04	2.099916e+00	2.035598e+00	6.431737e-05
2.350466080824406e-04	2.135440e+00	2.042797e+00	9.264321e-05
2.409059830824406e-04	2.188727e+00	2.052035e+00	1.366921e-04
2.481604473681549e-04	2.254696e+00	2.061355e+00	1.933409e-04
2.554149116538692e-04	2.320663e+00	2.070050e+00	2.506138e-04
2.626693759395835e-04	2.386628e+00	2.078117e+00	3.085106e-04
2.699238402252978e-04	2.452590e+00	2.085559e+00	3.670314e-04
2.771783045110121e-04	2.518551e+00	2.092374e+00	4.261761e-04
2.844327687967264e-04	2.584508e+00	2.098563e+00	4.859449e-04
2.916872330824407e-04	2.650464e+00	2.104126e+00	5.463376e-04
3.211671819278063e-04	2.918480e+00	2.124215e+00	7.942645e-04
3.506471307731719e-04	3.186493e+00	2.142852e+00	1.043641e-03
3.801270796185375e-04	3.454503e+00	2.160037e+00	1.294466e-03
4.096070284639032e-04	3.722511e+00	2.175770e+00	1.546741e-03
4.390869773092688e-04	3.990516e+00	2.190050e+00	1.800466e-03
4.685669261546344e-04	4.258518e+00	2.202879e+00	2.055639e-03
