#time	V(in1)	V(in2)	I(R3)
0.000000000000000e+00	-3.089514e+00	-6.908532e-01	-2.398660e-03
3.954079056061539e-09	-3.089514e+00	-6.908532e-01	-2.398661e-03
7.908158112123078e-09	-3.089514e+00	-6.908532e-01	-2.398661e-03
1.186223716818462e-08	-3.089514e+00	-6.908532e-01	-2.398661e-03
1.581631622424616e-08	-3.089514e+00	-6.908532e-01	-2.398661e-03
1.977039528030769e-08	-3.089513e+00	-6.908532e-01	-2.398660e-03
2.372447433636923e-08	-3.089513e+00	-6.908532e-01	-2.398659e-03
2.767855339243076e-08	-3.089512e+00	-6.908532e-01	-2.398659e-03
1.624331664277858e-07	-3.089347e+00	-6.908507e-01	-2.398496e-03
2.971877794631409e-07	-3.089032e+00	-6.908460e-01	-2.398186e-03
4.319423924984960e-07	-3.088567e+00	-6.908389e-01	-2.397729e-03
5.666970055338510e-07	-3.087953e+00	-6.908297e-01	-2.397124e-03
7.014516185692062e-07	-3.087189e+00	-6.908181e-01	-2.396371e-03
8.362062316045612e-07	-3.086275e+00	-6.908043e-01	-2.395471e-03
9.709608446399160e-07	-3.085211e+00	-6.907881e-01	-2.394423e-03
1.894175523980588e-06	-3.074978e+00	-6.906326e-01	-2.384346e-03
3.083037363098285e-06	-3.056046e+00	-6.903440e-01	-2.365702e-03
3.492388960136285e-06	-3.048003e+00	-6.902208e-01	-2.357782e-03
3.745284274521520e-06	-3.042759e+00	-6.901401e-01	-2.352619e-03
4.036676868231962e-06	-3.037066e+00	-6.900524e-01	-2.347014e-03
4.355574757519934e-06	-3.031286e+00	-6.899631e-01	-2.341323e-03
4.751865657209724e-06	-3.024579e+00	-6.898592e-01	-2.334720e-03
4.983052991187835e-06	-3.020855e+00	-6.898015e-01	-2.331054e-03
5.597107926366736e-06	-3.011340e+00	-6.896534e-01	-2.321687e-03
6.494399122719618e-06	-2.997800e+00	-6.894417e-01	-2.308359e-03
8.134300735774806e-06	-2.973537e+00	-6.890595e-01	-2.284477e-03
9.700047999366611e-06	-2.950667e+00	-6.886959e-01	-2.261971e-03
1.126579526295841e-05	-2.927818e+00	-6.883291e-01	-2.239489e-03
1.283154252655022e-05	-2.904991e+00	-6.879589e-01	-2.217032e-03
1.439728979014203e-05	-2.882185e+00	-6.875855e-01	-2.194599e-03
1.596303705373383e-05	-2.859400e+00	-6.872088e-01	-2.172191e-03
1.752878431732563e-05	-2.836637e+00	-6.868288e-01	-2.149808e-03
1.909453158091743e-05	-2.813895e+00	-6.864455e-01	-2.127450e-03
3.524269006306031e-05	-2.579047e+00	-6.831514e-01	-1.895896e-03
5.139084854520319e-05	-2.344208e+00	-6.785808e-01	-1.665627e-03
6.753900702734606e-05	-2.109377e+00	-6.727336e-01	-1.436643e-03
8.368716550948894e-05	-1.874554e+00	-6.656099e-01	-1.208944e-03
9.983532399163182e-05	-1.639739e+00	-6.572095e-01	-9.825295e-04
1.159834824737747e-04	-1.404933e+00	-6.475326e-01	-7.573999e-04
1.321316409559175e-04	-1.170134e+00	-6.365792e-01	-5.335551e-04
1.357588730987747e-04	-1.117398e+00	-6.334395e-01	-4.839587e-04
1.393861052416318e-04	-1.064668e+00	-6.296777e-01	-4.349901e-04
1.430133373844890e-04	-1.011943e+00	-6.252937e-01	-3.866494e-04
1.466405695273461e-04	-9.592239e-01	-6.202875e-01	-3.389364e-04
1.502678016702033e-04	-9.065105e-01	-6.146592e-01	-2.918513e-04
1.538950338130604e-04	-8.538026e-01	-6.084087e-01	-2.453939e-04
1.575222659559176e-04	-8.011004e-01	-6.015360e-01	-1.995644e-04
1.614285159559176e-04	-7.443638e-01	-5.919230e-01	-1.524407e-04
1.633816409559176e-04	-7.160026e-01	-5.861796e-01	-1.298230e-04
1.653347659559176e-04	-6.876466e-01	-5.795990e-01	-1.080476e-04
1.672878909559176e-04	-6.592950e-01	-5.719507e-01	-8.734431e-05
1.692410159559176e-04	-6.309452e-01	-5.629220e-01	-6.802322e-05
1.711941409559176e-04	-6.025909e-01	-5.520980e-01	-5.049288e-05
1.731472659559176e-04	-5.742201e-01	-5.389656e-01	-3.525443e-05
1.751003909559176e-04	-5.458166e-01	-5.229920e-01	-2.282463e-05
1.770535159559176e-04	-5.173714e-01	-5.038276e-01	-1.354374e-05
1.790066409559176e-04	-4.888967e-01	-4.815601e-01	-7.336580e-06
1.809597659559176e-04	-4.604223e-01	-4.567733e-01	-3.649074e-06
1.829128909559176e-04	-4.319711e-01	-4.302903e-01	-1.680726e-06
1.848660159559176e-04	-4.035467e-01	-4.028361e-01	-7.106191e-07
1.868191409559176e-04	-3.751429e-01	-3.748868e-01	-2.560278e-07
1.887722659559176e-04	-3.467527e-01	-3.467033e-01	-4.941643e-08
1.907253909559176e-04	-3.183722e-01	-3.184145e-01	4.227907e-08
1.926785159559176e-04	-2.900002e-01	-2.900819e-01	8.166389e-08
1.946316409559176e-04	-2.616370e-01	-2.617344e-01	9.742231e-08
1.965847659559176e-04	-2.332847e-01	-2.333872e-01	1.025391e-07
1.993828464002535e-04	-1.926882e-01	-1.927918e-01	1.036255e-07
1.994057345838473e-04	-1.923296e-01	-1.924404e-01	1.107825e-07
