#TIME ms, IN1, IN2, MATH
1, 0.021362, 0.023804, -0.009766
0.998, 0.0354, 0.037231, -0.007324
0.996, 0.056152, 0.057983, -0.007324
0.995, 0.076904, 0.078125, -0.004883
0.993, 0.097046, 0.098877, -0.007324
0.991, 0.115967, 0.117188, -0.004883
0.989, 0.131226, 0.132446, -0.004883
0.987, 0.151978, 0.152588, -0.002441
0.985, 0.170898, 0.172729, -0.007324
0.983, 0.19043, 0.19104, -0.002441
0.981, 0.210571, 0.211182, -0.002441
0.979, 0.22644, 0.227661, -0.004883
0.977, 0.247192, 0.248413, -0.004883
0.975, 0.267944, 0.268555, -0.002441
0.973, 0.286255, 0.287476, -0.004883
0.971, 0.306396, 0.307617, -0.004883
0.969, 0.326538, 0.327759, -0.004883
0.967, 0.341797, 0.343018, -0.004883
0.965, 0.363159, 0.36499, -0.007324
0.963, 0.383911, 0.385742, -0.007324
0.961, 0.403442, 0.404663, -0.004883
0.959, 0.423584, 0.424805, -0.004883
0.957, 0.437012, 0.438843, -0.007324
0.955, 0.458984, 0.459595, -0.002441
0.953, 0.477295, 0.478516, -0.004883
0.952, 0.496826, 0.498657, -0.007324
0.95, 0.516968, 0.518799, -0.007324
0.948, 0.53894, 0.53894, 0
0.946, 0.552979, 0.553589, -0.002441
0.944, 0.57373, 0.574341, -0.002441
0.942, 0.59082, 0.591431, -0.002441
0.94, 0.611572, 0.612793, -0.004883
0.938, 0.631714, 0.632324, -0.002441
0.936, 0.647583, 0.648804, -0.004883
0.934, 0.666504, 0.667725, -0.004883
0.932, 0.687256, 0.688477, -0.004883
0.93, 0.706177, 0.708008, -0.007324
0.928, 0.728149, 0.728149, 0
0.926, 0.74707, 0.748901, -0.007324
0.924, 0.762939, 0.764771, -0.007324
0.922, 0.783081, 0.784302, -0.004883
0.92, 0.805054, 0.805664, -0.002441
0.918, 0.823364, 0.824585, -0.004883
0.916, 0.844116, 0.844727, -0.002441
0.914, 0.856934, 0.858765, -0.007324
0.912, 0.878296, 0.878906, -0.002441
0.911, 0.897827, 0.898438, -0.002441
0.909, 0.919189, 0.9198, -0.002441
0.907, 0.9375, 0.939331, -0.007324
0.905, 0.95459, 0.956421, -0.007324
0.903, 0.974121, 0.974731, -0.002441
0.901, 0.996704, 0.996704, 0
0.899, 1.016235, 1.016235, 0
0.897, 1.035156, 1.035767, -0.002441
0.895, 1.055298, 1.056519, -0.004883
0.893, 1.069946, 1.070557, -0.002441
0.891, 1.088867, 1.089478, -0.002441
0.889, 1.109009, 1.109619, -0.002441
0.887, 1.12793, 1.12854, -0.002441
0.885, 1.148071, 1.148682, -0.002441
0.883, 1.16272, 1.16333, -0.002441
0.881, 1.181641, 1.182251, -0.002441
0.879, 1.199951, 1.201172, -0.004883
0.877, 1.220703, 1.221313, -0.002441
0.875, 1.241455, 1.240845, 0.002441
0.873, 1.262207, 1.262817, -0.002441
0.871, 1.278076, 1.278076, 0
0.869, 1.299438, 1.300049, -0.002441
0.868, 1.321411, 1.32019, 0.004883
0.866, 1.340942, 1.340942, 0
0.864, 1.361694, 1.360474, 0.004883
0.862, 1.376343, 1.375732, 0.002441
0.86, 1.396484, 1.395264, 0.004883
0.858, 1.416016, 1.415405, 0.002441
0.856, 1.435547, 1.434937, 0.002441
0.854, 1.455078, 1.454468, 0.002441
0.852, 1.47583, 1.47583, 0
0.85, 1.490479, 1.490479, 0
0.848, 1.51062, 1.51001, 0.002441
0.846, 1.530762, 1.530151, 0.002441
0.844, 1.552124, 1.551514, 0.002441
0.842, 1.571045, 1.571045, 0
0.84, 1.585693, 1.585083, 0.002441
0.838, 1.606445, 1.605835, 0.002441
0.836, 1.626587, 1.625366, 0.004883
0.834, 1.646118, 1.644897, 0.004883
0.832, 1.66687, 1.665039, 0.007324
0.83, 1.685181, 1.68457, 0.002441
0.828, 1.699829, 1.699219, 0.002441
0.826, 1.720581, 1.71936, 0.004883
0.825, 1.740723, 1.740723, 0
